date,ticker,timeframe,confidence,direction,matched_strategy,ml_prob,vix,nifty_ok,source,source_provider,source_model,entry_price,target_price_lo,target_price_hi,ret_1d,ret_3d,ret_5d,ret_for_tf,max_up_1d,min_down_1d,max_up_3d,min_down_3d,max_up_5d,min_down_5d,max_up_for_tf,min_down_for_tf,intraday_hit_for_tf,target_hit_for_tf
2026-06-17,POLYCAB.NS,1D,HIGH,NEUTRAL,,0.65,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,9879.623,9867.77,9891.48,0.262,1.446,-1.894,0.262,0.881,-0.217,2.494,-0.492,2.494,-2.071,0.881,-0.217,1,1
2026-06-17,POLYCAB.NS,3D,MEDIUM,NEUTRAL,,0.65,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,9879.623,9861.84,9897.41,0.262,1.446,-1.894,1.446,0.881,-0.217,2.494,-0.492,2.494,-2.071,2.494,-0.492,1,1
2026-06-17,POLYCAB.NS,5D,MEDIUM,NEUTRAL,,0.65,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,9879.623,9854.92,9904.32,0.262,1.446,-1.894,-1.894,0.881,-0.217,2.494,-0.492,2.494,-2.071,2.494,-2.071,1,1
2026-06-17,DLF.NS,1D,MEDIUM,NEUTRAL,,0.71,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,623.55,622.8,624.3,2.75,0.65,-0.866,2.75,3.28,-0.088,3.28,-0.625,3.28,-2.269,3.28,-0.088,0,0
2026-06-17,DLF.NS,3D,MEDIUM,NEUTRAL,,0.71,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,623.55,622.43,624.67,2.75,0.65,-0.866,0.65,3.28,-0.088,3.28,-0.625,3.28,-2.269,3.28,-0.625,1,1
2026-06-17,DLF.NS,5D,MEDIUM,NEUTRAL,,0.71,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,623.55,621.99,625.11,2.75,0.65,-0.866,-0.866,3.28,-0.088,3.28,-0.625,3.28,-2.269,3.28,-2.269,1,1
2026-06-17,SHRIRAMFIN.NS,1D,MEDIUM,NEUTRAL,,0.71,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1007.5,1006.29,1008.71,-0.476,-1.454,1.141,-0.476,0.973,-0.918,0.973,-2.352,2.169,-2.675,0.973,-0.918,1,1
2026-06-17,SHRIRAMFIN.NS,3D,MEDIUM,BULLISH,,0.71,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1007.5,1007.7,1009.31,-0.476,-1.454,1.141,-1.454,0.973,-0.918,0.973,-2.352,2.169,-2.675,0.973,-2.352,1,1
2026-06-17,SHRIRAMFIN.NS,5D,MEDIUM,BULLISH,,0.71,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1007.5,1007.7,1009.31,-0.476,-1.454,1.141,1.141,0.973,-0.918,0.973,-2.352,2.169,-2.675,2.169,-2.675,1,1
2026-06-17,AXISCADES.NS,1D,HIGH,BULLISH,,0.78,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1916.5,1917.46,1925.12,1.362,-2.009,-8.276,1.362,3.835,-1.414,3.835,-2.426,3.835,-8.698,3.835,-1.414,1,1
2026-06-17,AXISCADES.NS,3D,MEDIUM,BULLISH,,0.78,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1916.5,1916.88,1919.95,1.362,-2.009,-8.276,-2.009,3.835,-1.414,3.835,-2.426,3.835,-8.698,3.835,-2.426,1,1
2026-06-17,AXISCADES.NS,5D,MEDIUM,BULLISH,,0.78,13.2,False,github:gpt-4o-mini,github,gpt-4o-mini,1916.5,1916.88,1919.95,1.362,-2.009,-8.276,-8.276,3.835,-1.414,3.835,-2.426,3.835,-8.698,3.835,-8.698,1,1
2026-06-18,HINDALCO.NS,1D,MEDIUM,NEUTRAL,,0.74,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1008.5,1007.29,1009.71,0.149,-2.152,-5.483,0.149,0.823,-2.31,0.952,-3.024,0.952,-5.781,0.823,-2.31,1,1
2026-06-18,HINDALCO.NS,3D,MEDIUM,NEUTRAL,,0.74,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1008.5,1006.68,1010.32,0.149,-2.152,-5.483,-2.152,0.823,-2.31,0.952,-3.024,0.952,-5.781,0.952,-3.024,1,1
2026-06-18,HINDALCO.NS,5D,MEDIUM,NEUTRAL,,0.74,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1008.5,1005.98,1011.02,0.149,-2.152,-5.483,-5.483,0.823,-2.31,0.952,-3.024,0.952,-5.781,0.952,-5.781,0,0
2026-06-18,IPCALAB.NS,1D,MEDIUM,NEUTRAL,,0.64,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1543.6,1541.75,1545.45,2.734,5.273,4.839,2.734,4.243,-0.071,6.336,-0.071,7.217,-0.071,4.243,-0.071,0,0
2026-06-18,IPCALAB.NS,3D,MEDIUM,NEUTRAL,,0.64,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1543.6,1540.82,1546.38,2.734,5.273,4.839,5.273,4.243,-0.071,6.336,-0.071,7.217,-0.071,6.336,-0.071,0,0
2026-06-18,IPCALAB.NS,5D,MEDIUM,NEUTRAL,,0.64,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1543.6,1539.74,1547.46,2.734,5.273,4.839,4.839,4.243,-0.071,6.336,-0.071,7.217,-0.071,7.217,-0.071,0,0
2026-06-18,POLYCAB.NS,1D,HIGH,NEUTRAL,,0.61,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,9905.5,9893.61,9917.39,1.792,0.151,-3.781,1.792,2.165,-0.752,2.226,-0.752,2.226,-3.927,2.165,-0.752,0,0
2026-06-18,POLYCAB.NS,3D,MEDIUM,NEUTRAL,,0.61,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,9905.5,9887.67,9923.33,1.792,0.151,-3.781,0.151,2.165,-0.752,2.226,-0.752,2.226,-3.927,2.226,-0.752,1,1
2026-06-18,POLYCAB.NS,5D,MEDIUM,NEUTRAL,,0.61,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,9905.5,9880.74,9930.26,1.792,0.151,-3.781,-3.781,2.165,-0.752,2.226,-0.752,2.226,-3.927,2.226,-3.927,0,0
2026-06-18,DLF.NS,1D,MEDIUM,NEUTRAL,,0.65,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,640.7,639.93,641.47,-2.528,-4.425,-3.02,-2.528,-0.265,-3.285,-0.265,-4.784,-0.265,-4.885,-0.265,-3.285,0,0
2026-06-18,DLF.NS,3D,MEDIUM,BULLISH,,0.65,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,640.7,640.83,641.85,-2.528,-4.425,-3.02,-4.425,-0.265,-3.285,-0.265,-4.784,-0.265,-4.885,-0.265,-4.784,0,0
2026-06-18,DLF.NS,5D,MEDIUM,BULLISH,,0.65,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,640.7,640.83,641.85,-2.528,-4.425,-3.02,-3.02,-0.265,-3.285,-0.265,-4.784,-0.265,-4.885,-0.265,-4.885,0,0
2026-06-18,SHRIRAMFIN.NS,1D,MEDIUM,NEUTRAL,,0.71,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1002.7,1001.5,1003.9,-0.08,-0.932,2.902,-0.08,0.499,-1.037,0.499,-1.885,4.917,-2.209,0.499,-1.037,1,1
2026-06-18,SHRIRAMFIN.NS,3D,MEDIUM,BULLISH,,0.71,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1002.7,1002.9,1004.5,-0.08,-0.932,2.902,-0.932,0.499,-1.037,0.499,-1.885,4.917,-2.209,0.499,-1.885,1,1
2026-06-18,SHRIRAMFIN.NS,5D,MEDIUM,BULLISH,,0.71,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1002.7,1002.9,1004.5,-0.08,-0.932,2.902,2.902,0.499,-1.037,0.499,-1.885,4.917,-2.209,4.917,-2.209,1,1
2026-06-18,AXISCADES.NS,1D,HIGH,BULLISH,,0.78,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1942.6,1943.57,1951.34,0.031,-5.189,-12.952,0.031,1.41,-1.632,1.41,-5.637,1.41,-13.575,1.41,-1.632,1,1
2026-06-18,AXISCADES.NS,3D,MEDIUM,BULLISH,,0.78,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1942.6,1942.99,1946.1,0.031,-5.189,-12.952,-5.189,1.41,-1.632,1.41,-5.637,1.41,-13.575,1.41,-5.637,1,1
2026-06-18,AXISCADES.NS,5D,MEDIUM,BULLISH,,0.78,12.7,False,github:gpt-4o-mini,github,gpt-4o-mini,1942.6,1942.99,1946.1,0.031,-5.189,-12.952,-12.952,1.41,-1.632,1.41,-5.637,1.41,-13.575,1.41,-13.575,1,1
2026-06-19,HINDALCO.NS,1D,HIGH,NEUTRAL,,0.74,13.0,False,github:gpt-4o-mini,github,gpt-4o-mini,1010.0,1008.79,1011.21,0.416,-3.307,-4.574,0.416,0.802,-0.634,0.802,-3.931,0.802,-5.921,0.802,-0.634,1,1
2026-06-19,HINDALCO.NS,3D,MEDIUM,NEUTRAL,,0.74,13.0,False,groq:llama-3.3-70b-versatile,groq,llama-3.3-70b-versatile,1010.0,1008.18,1011.82,0.416,-3.307,-4.574,-3.307,0.802,-0.634,0.802,-3.931,0.802,-5.921,0.802,-3.931,0,0
2026-06-19,HINDALCO.NS,5D,MEDIUM,NEUTRAL,,0.74,13.0,False,groq:llama-3.3-70b-versatile,groq,llama-3.3-70b-versatile,1010.0,1007.48,1012.52,0.416,-3.307,-4.574,-4.574,0.802,-0.634,0.802,-3.931,0.802,-5.921,0.802,-5.921,0,0
2026-06-19,IPCALAB.NS,1D,MEDIUM,NEUTRAL,,0.71,13.0,False,groq:llama-3.3-70b-versatile,groq,llama-3.3-70b-versatile,1585.8,1583.9,1587.7,0.725,2.232,3.872,0.725,1.204,-0.214,3.506,-0.214,4.988,-0.214,1.204,-0.214,1,1
2026-06-19,IPCALAB.NS,3D,MEDIUM,NEUTRAL,,0.71,13.0,False,groq:llama-3.3-70b-versatile,groq,llama-3.3-70b-versatile,1585.8,1582.95,1588.65,0.725,2.232,3.872,2.232,1.204,-0.214,3.506,-0.214,4.988,-0.214,3.506,-0.214,1,1
2026-06-19,IPCALAB.NS,5D,MEDIUM,BULLISH,,0.71,13.0,False,groq:llama-3.3-70b-versatile,groq,llama-3.3-70b-versatile,1585.8,1586.12,1588.65,0.725,2.232,3.872,3.872,1.204,-0.214,3.506,-0.214,4.988,-0.214,4.988,-0.214,1,1
2026-06-19,POLYCAB.NS,1D,HIGH,BULLISH,,0.72,13.0,False,groq:llama-3.3-70b-versatile,groq,llama-3.3-70b-versatile,10083.0,10088.04,10128.37,-0.6,-3.873,-3.015,-0.6,0.426,-0.903,0.426,-4.046,0.426,-6.57,0.426,-0.903,1,1
