date,ticker,timeframe,confidence,direction,matched_strategy,ml_prob,vix,nifty_ok,source,source_provider,source_model,entry_price,target_price_lo,target_price_hi,ret_intraday,ret_intraday_real,ret_1d,ret_3d,ret_5d,ret_for_tf,max_up_0d,min_down_0d,max_up_1d,min_down_1d,max_up_3d,min_down_3d,max_up_5d,min_down_5d,max_up_for_tf,min_down_for_tf,intraday_hit_for_tf,target_hit_for_tf,hit_grade,midpoint_hit_for_tf,graded_hit_for_tf,trigger_T1,trigger_T2,trigger_T3,trigger_T4,trigger_T5,trigger_T6,trigger_T7,trigger_B1,trigger_B2,trigger_B3
2026-06-19,IPCALAB.NS,INTRADAY,MEDIUM,BULLISH,,0.71,13.0,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,1585.8,1588.79,1593.85,0.0,,0.725,2.232,2.049,0.0,1.469,-2.73,1.204,-0.214,3.506,-0.214,4.364,-0.214,1.469,-2.73,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,0
2026-06-19,IPCALAB.NS,1D,LOW,NEUTRAL,,0.71,13.0,False,huggingface:meta-llama/llama-3.1-8b-instruct,huggingface,meta-llama/llama-3.1-8b-instruct,1585.8,1562.01,1609.59,0.0,,0.725,2.232,2.049,0.725,1.469,-2.73,1.204,-0.214,3.506,-0.214,4.364,-0.214,1.204,-0.214,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,0
2026-06-19,IPCALAB.NS,3D,LOW,BULLISH,,0.71,13.0,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,1585.8,1601.21,1613.89,0.0,,0.725,2.232,2.049,2.232,1.469,-2.73,1.204,-0.214,3.506,-0.214,4.364,-0.214,3.506,-0.214,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,0
2026-06-19,POLYCAB.NS,INTRADAY,LOW,NEUTRAL,,0.72,13.0,False,huggingface:meta-llama/llama-3.1-8b-instruct,huggingface,meta-llama/llama-3.1-8b-instruct,10083.0,10032.58,10133.41,0.0,,-0.6,-3.873,-5.475,0.0,0.367,-2.499,0.426,-0.903,0.426,-4.046,0.426,-5.618,0.367,-2.499,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,0,0,0,0
2026-06-19,POLYCAB.NS,1D,LOW,NEUTRAL,,0.72,13.0,False,huggingface:meta-llama/llama-3.1-8b-instruct,huggingface,meta-llama/llama-3.1-8b-instruct,10083.0,9931.75,10234.24,0.0,,-0.6,-3.873,-5.475,-0.6,0.367,-2.499,0.426,-0.903,0.426,-4.046,0.426,-5.618,0.426,-0.903,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,0,0,0,0
2026-06-19,POLYCAB.NS,3D,LOW,NEUTRAL,,0.72,13.0,False,nvidia:meta/llama-3.1-8b-instruct,nvidia,meta/llama-3.1-8b-instruct,10083.0,9982.17,10183.83,0.0,,-0.6,-3.873,-5.475,-3.873,0.367,-2.499,0.426,-0.903,0.426,-4.046,0.426,-5.618,0.426,-4.046,0,0,MIDPOINT_HIT,1,1,0,0,1,0,0,0,0,0,0,0
2026-06-19,DLF.NS,INTRADAY,MEDIUM,BULLISH,,0.71,13.0,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,616.757,617.86,619.73,0.0,,0.496,-1.017,-0.504,0.0,2.322,-0.777,1.169,0.096,1.906,-2.418,1.906,-2.418,2.322,-0.777,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,0,0,0,0
2026-06-19,DLF.NS,1D,MEDIUM,BULLISH,,0.71,13.0,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,616.757,617.33,619.73,0.0,,0.496,-1.017,-0.504,0.496,2.322,-0.777,1.169,0.096,1.906,-2.418,1.906,-2.418,1.169,0.096,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,0,0,0,0
2026-06-19,DLF.NS,3D,MEDIUM,BULLISH,,0.71,13.0,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,616.757,622.45,627.38,0.0,,0.496,-1.017,-0.504,-1.017,2.322,-0.777,1.169,0.096,1.906,-2.418,1.906,-2.418,1.906,-2.418,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,0,0,0,0
2026-06-19,SHRIRAMFIN.NS,INTRADAY,MEDIUM,BULLISH,,0.71,13.0,False,groq:llama-3.1-8b-instant,groq,llama-3.1-8b-instant,996.265,997.85,1000.52,0.0,,-0.903,1.707,2.984,0.0,0.579,-0.958,0.384,-1.807,2.74,-2.131,5.0,-2.131,0.579,-0.958,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,1,0,0,0
2026-06-19,SHRIRAMFIN.NS,1D,MEDIUM,BULLISH,,0.71,13.0,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,996.265,997.08,1000.52,0.0,,-0.903,1.707,2.984,-0.903,0.579,-0.958,0.384,-1.807,2.74,-2.131,5.0,-2.131,0.384,-1.807,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,1,0,0,0
2026-06-19,SHRIRAMFIN.NS,3D,MEDIUM,BULLISH,,0.71,13.0,False,nvidia:meta/llama-3.1-8b-instruct,nvidia,meta/llama-3.1-8b-instruct,996.265,1004.41,1012.38,0.0,,-0.903,1.707,2.984,1.707,0.579,-0.958,0.384,-1.807,2.74,-2.131,5.0,-2.131,2.74,-2.131,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,1,0,0,0
2026-06-19,AXISCADES.NS,INTRADAY,MEDIUM,BULLISH,,0.78,13.0,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1943.2,1948.84,1958.37,0.0,,-3.355,-9.536,-12.979,0.0,1.379,-1.662,0.098,-3.767,0.098,-9.953,0.098,-13.601,1.379,-1.662,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,0,0,0,0
2026-06-19,AXISCADES.NS,1D,MEDIUM,BULLISH,,0.78,13.0,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1943.2,1946.12,1958.37,0.0,,-3.355,-9.536,-12.979,-3.355,1.379,-1.662,0.098,-3.767,0.098,-9.953,0.098,-13.601,0.098,-3.767,1,0,MISS,0,0,1,1,0,0,0,0,0,0,0,0
2026-06-19,AXISCADES.NS,3D,MEDIUM,BULLISH,,0.78,13.0,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1943.2,1972.25,1987.79,0.0,,-3.355,-9.536,-12.979,-9.536,1.379,-1.662,0.098,-3.767,0.098,-9.953,0.098,-13.601,0.098,-9.953,1,0,MISS,0,0,1,1,0,0,0,0,0,0,0,0
2026-06-22,HINDALCO.NS,INTRADAY,MEDIUM,NEUTRAL,,0.64,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1008.937,1003.89,1013.98,0.0,,-2.702,-6.015,-4.969,0.0,0.385,-1.045,-1.499,-3.569,-1.499,-6.31,-1.499,-6.31,0.385,-1.045,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-22,HINDALCO.NS,1D,MEDIUM,BEARISH,,0.64,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1008.937,1004.2,1008.02,0.0,,-2.702,-6.015,-4.969,-2.702,0.385,-1.045,-1.499,-3.569,-1.499,-6.31,-1.499,-6.31,-1.499,-3.569,1,0,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-22,HINDALCO.NS,3D,MEDIUM,BEARISH,,0.64,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1008.937,991.79,999.86,0.0,,-2.702,-6.015,-4.969,-6.015,0.385,-1.045,-1.499,-3.569,-1.499,-6.31,-1.499,-6.31,-1.499,-6.31,1,0,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,1
2026-06-22,IPCALAB.NS,INTRADAY,MEDIUM,BULLISH,,0.71,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1597.3,1600.04,1604.68,0.0,,1.734,1.315,3.124,0.0,0.476,-0.933,2.761,0.163,3.612,0.163,4.232,0.163,0.476,-0.933,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,1,0,0,0
2026-06-22,IPCALAB.NS,1D,MEDIUM,BULLISH,,0.71,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1597.3,1598.72,1604.68,0.0,,1.734,1.315,3.124,1.734,0.476,-0.933,2.761,0.163,3.612,0.163,4.232,0.163,2.761,0.163,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,1,0,0,0
2026-06-22,IPCALAB.NS,3D,LOW,BULLISH,,0.71,12.8,False,nvidia:meta/llama-3.1-8b-instruct,nvidia,meta/llama-3.1-8b-instruct,1597.3,1611.42,1624.2,0.0,,1.734,1.315,3.124,1.315,0.476,-0.933,2.761,0.163,3.612,0.163,4.232,0.163,3.612,0.163,1,1,MIDPOINT_HIT,1,1,0,0,1,0,0,0,1,0,0,0
2026-06-22,POLYCAB.NS,INTRADAY,LOW,NEUTRAL,,0.68,12.8,False,nvidia:meta/llama-3.1-8b-instruct,nvidia,meta/llama-3.1-8b-instruct,10022.5,9972.39,10072.61,0.0,,-1.018,-4.904,-2.43,0.0,1.033,-0.304,0.524,-1.307,0.524,-5.049,0.524,-6.006,1.033,-0.304,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,0
2026-06-22,POLYCAB.NS,3D,LOW,BULLISH,,0.68,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,10022.5,10086.02,10166.2,0.0,,-1.018,-4.904,-2.43,-4.904,1.033,-0.304,0.524,-1.307,0.524,-5.049,0.524,-6.006,0.524,-5.049,1,0,MISS,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-22,DLF.NS,INTRADAY,MEDIUM,BULLISH,,0.71,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,619.818,620.86,622.62,0.0,,-2.43,-0.996,-2.047,0.0,0.669,-0.398,1.402,-2.796,1.402,-2.9,1.402,-2.9,0.669,-0.398,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,0,0,0,0
2026-06-22,DLF.NS,1D,MEDIUM,BULLISH,,0.71,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,619.818,620.36,622.62,0.0,,-2.43,-0.996,-2.047,-2.43,0.669,-0.398,1.402,-2.796,1.402,-2.9,1.402,-2.9,1.402,-2.796,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,0,0,0,0
2026-06-22,DLF.NS,3D,MEDIUM,BULLISH,,0.71,12.8,False,cerebras:gemma-4-31b,cerebras,gemma-4-31b,619.818,625.18,630.13,0.0,,-2.43,-0.996,-2.047,-0.996,0.669,-0.398,1.402,-2.796,1.402,-2.9,1.402,-2.9,1.402,-2.9,1,1,MIDPOINT_HIT,1,1,1,1,0,0,0,0,0,0,0,0
2026-06-22,SHRIRAMFIN.NS,INTRADAY,MEDIUM,BULLISH,,0.78,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,987.265,988.78,991.35,0.0,,0.05,3.923,4.009,0.0,1.299,-0.912,1.496,-0.841,5.958,-1.239,6.3,-1.239,1.299,-0.912,1,1,MIDPOINT_HIT,1,1,1,1,0,0,1,0,1,0,0,0
2026-06-22,SHRIRAMFIN.NS,1D,MEDIUM,BULLISH,,0.78,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,987.265,988.05,991.35,0.0,,0.05,3.923,4.009,0.05,1.299,-0.912,1.496,-0.841,5.958,-1.239,6.3,-1.239,1.496,-0.841,1,1,MIDPOINT_HIT,1,1,1,1,0,0,1,0,1,0,0,0
2026-06-22,SHRIRAMFIN.NS,3D,MEDIUM,BULLISH,,0.78,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,987.265,995.08,1002.98,0.0,,0.05,3.923,4.009,3.923,1.299,-0.912,1.496,-0.841,5.958,-1.239,6.3,-1.239,5.958,-1.239,1,1,MIDPOINT_HIT,1,1,1,1,0,0,1,0,1,0,0,0
2026-06-22,AXISCADES.NS,INTRADAY,MEDIUM,BULLISH,,0.71,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1878.0,1883.59,1893.03,0.0,,-1.928,-9.957,-9.526,0.0,3.573,-0.426,1.587,-2.391,1.587,-10.602,1.587,-12.875,3.573,-0.426,1,1,MIDPOINT_HIT,1,1,1,0,0,0,0,0,0,0,0,0
2026-06-22,AXISCADES.NS,1D,MEDIUM,BULLISH,,0.71,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1878.0,1880.89,1893.03,0.0,,-1.928,-9.957,-9.526,-1.928,3.573,-0.426,1.587,-2.391,1.587,-10.602,1.587,-12.875,1.587,-2.391,1,1,MIDPOINT_HIT,1,1,1,0,0,0,0,0,0,0,0,0
2026-06-22,AXISCADES.NS,3D,MEDIUM,BULLISH,,0.71,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,1878.0,1906.78,1921.81,0.0,,-1.928,-9.957,-9.526,-9.957,3.573,-0.426,1.587,-2.391,1.587,-10.602,1.587,-12.875,1.587,-10.602,1,0,RANGE_HIT,0,1,1,0,0,0,0,0,0,0,0,0
2026-06-22,POLYCAB.NS,1D,LOW,BULLISH,,0.68,12.8,False,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,nvidia,nvidia/llama-3.3-nemotron-super-49b-v1,10022.5,10028.88,10055.67,0.0,,-1.018,-4.904,-2.43,-1.018,1.033,-0.304,0.524,-1.307,0.524,-5.049,0.524,-6.006,0.524,-1.307,1,1,MIDPOINT_HIT,1,1,0,0,0,0,0,0,0,0,0,0
