date,ticker,tf,conf,dirn,src,atr_w,ai_w,atr_th,atr_gr,ai_th,ai_gr
2026-03-24,SBIN.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.42,1.16,0,0,0,0
2026-04-08,SBIN.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.34,0.87,1,1,1,1
2026-04-21,SBIN.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.3,0.75,0,1,0,0
2026-04-21,SBIN.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.38,2.19,1,1,1,1
2026-05-01,SBIN.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.19,0.5,0,0,0,0
2026-05-01,SBIN.NS,1D,LOW,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.25,0.7,1,1,1,1
2026-05-13,SBIN.NS,1D,MEDIUM,BEARISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.34,0.95,1,1,1,1
2026-05-25,SBIN.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.35,0.97,1,1,0,1
2026-06-04,SBIN.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.18,0.47,1,1,1,1
2026-06-16,SBIN.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.18,0.46,1,1,1,1
2026-06-16,SBIN.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.23,1.18,1,1,1,1
2026-06-26,SBIN.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.16,0.42,0,0,0,0
2026-06-26,SBIN.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.21,0.59,0,1,0,0
2026-07-08,SBIN.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.17,0.43,1,1,1,1
2026-01-13,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.21,0.53,1,1,1,1
2026-01-13,TATASTEEL.NS,1D,MEDIUM,BULLISH,nvidia:meta/llama-3.1-8b-instruct,0.27,0.74,1,1,1,1
2026-01-23,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.24,0.61,1,1,1,1
2026-01-23,TATASTEEL.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.31,0.85,1,1,1,1
2026-02-05,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.3,0.75,1,1,0,0
2026-02-05,TATASTEEL.NS,1D,HIGH,BULLISH,gemini:gemini-flash-lite-latest,0.38,1.06,0,0,0,0
2026-02-17,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.33,0.84,1,1,1,1
2026-02-17,TATASTEEL.NS,1D,HIGH,BULLISH,gemini:gemini-flash-lite-latest,0.42,1.17,1,1,1,1
2026-02-27,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.26,0.66,1,1,1,1
2026-02-27,TATASTEEL.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.33,0.92,1,1,0,1
2026-03-12,TATASTEEL.NS,1D,LOW,BEARISH,gemini:gemini-flash-lite-latest,0.43,2.64,1,1,1,1
2026-03-24,TATASTEEL.NS,1D,LOW,BEARISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.49,2.42,0,0,0,1
2026-04-08,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.32,0.82,1,1,1,1
2026-04-08,TATASTEEL.NS,1D,MEDIUM,BULLISH,nvidia:meta/llama-3.1-8b-instruct,0.41,0.12,1,1,1,1
2026-04-21,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.24,0.61,1,1,1,1
2026-04-21,TATASTEEL.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.31,2.16,1,1,1,1
2026-05-01,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.19,0.48,0,0,0,0
2026-05-01,TATASTEEL.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.24,0.68,1,1,1,1
2026-05-13,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.19,0.49,1,1,0,1
2026-05-25,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.23,0.4,1,1,1,1
2026-05-25,TATASTEEL.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.3,0.83,1,1,0,0
2026-06-04,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.23,0.59,1,1,1,1
2026-06-04,TATASTEEL.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.3,1.94,0,0,0,1
2026-06-16,TATASTEEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.25,0.62,1,1,1,1
2026-06-16,TATASTEEL.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.32,1.24,1,1,1,1
2026-06-26,TATASTEEL.NS,1D,MEDIUM,BEARISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.25,0.7,0,0,1,1
2026-07-08,TATASTEEL.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.22,1.33,1,1,1,1
2026-01-01,DLF.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.16,0.42,1,1,0,1
2026-01-13,DLF.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.23,0.6,1,1,1,1
2026-01-13,DLF.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.3,0.84,1,1,0,0
2026-01-23,DLF.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.41,1.15,0,0,0,0
2026-02-05,DLF.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.32,0.82,0,1,0,0
2026-02-05,DLF.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.41,2.45,1,1,1,1
2026-02-27,DLF.NS,1D,MEDIUM,BEARISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.32,0.9,1,1,1,1
2026-03-12,DLF.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.41,1.14,1,1,1,1
2026-03-24,DLF.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.48,1.33,0,0,0,0
2026-04-08,DLF.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.4,1.0,0,1,0,0
2026-04-08,DLF.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.51,1.41,0,0,0,0
2026-04-21,DLF.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.33,0.83,1,1,0,0
2026-04-21,DLF.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.42,1.66,1,1,1,1
2026-05-01,DLF.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.25,0.62,0,0,0,0
2026-05-25,DLF.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.29,0.74,1,1,0,1
2026-05-25,DLF.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.37,1.02,1,1,0,1
2026-06-04,DLF.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.32,1.93,1,1,1,1
2026-06-16,DLF.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.28,0.7,1,1,0,0
2026-06-26,DLF.NS,INTRADAY,MEDIUM,BULLISH,nvidia:meta/llama-3.1-8b-instruct,0.27,0.69,0,0,0,0
2026-06-26,DLF.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.35,0.97,1,1,0,1
2026-07-08,DLF.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.28,0.72,1,1,1,1
2026-07-08,DLF.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.36,1.02,1,1,1,1
2026-01-13,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.23,0.56,0,1,0,0
2026-01-13,HINDALCO.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.29,0.8,1,1,1,1
2026-01-23,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.22,0.57,1,1,1,1
2026-01-23,HINDALCO.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.28,0.79,1,1,1,1
2026-02-05,HINDALCO.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.43,1.19,1,1,0,1
2026-02-17,HINDALCO.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.51,2.82,0,0,0,1
2026-02-27,HINDALCO.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.36,2.7,1,1,1,1
2026-03-12,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.31,0.81,0,1,0,0
2026-03-12,HINDALCO.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.4,1.13,0,0,0,0
2026-03-24,HINDALCO.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.52,1.46,0,0,0,0
2026-04-08,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.32,0.82,1,1,1,1
2026-04-08,HINDALCO.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.41,1.15,1,1,1,1
2026-04-21,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.3,0.75,0,0,0,0
2026-04-21,HINDALCO.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.38,1.05,1,1,1,1
2026-05-01,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.23,0.6,0,0,0,0
2026-05-01,HINDALCO.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.3,0.84,1,1,1,1
2026-05-13,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.22,0.56,1,1,1,1
2026-05-25,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.27,0.69,1,1,1,1
2026-05-25,HINDALCO.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.35,0.97,1,1,1,1
2026-06-04,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.26,0.66,1,1,1,1
2026-06-04,HINDALCO.NS,1D,MEDIUM,BULLISH,cerebras:gemma-4-31b,0.33,0.93,1,1,0,0
2026-06-16,HINDALCO.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.4,1.11,1,1,0,1
2026-06-26,HINDALCO.NS,1D,LOW,BEARISH,nvidia:meta/llama-3.1-8b-instruct,0.35,1.0,0,1,1,1
2026-07-08,HINDALCO.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.22,0.56,1,1,1,1
2026-07-08,HINDALCO.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.28,2.66,1,1,1,1
2026-01-01,BEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.17,0.44,1,1,1,1
2026-01-13,BEL.NS,INTRADAY,HIGH,BULLISH,gemini:gemini-flash-lite-latest,0.21,0.53,1,1,1,1
2026-01-13,BEL.NS,1D,HIGH,BULLISH,gemini:gemini-flash-lite-latest,0.27,0.74,1,1,1,1
2026-01-23,BEL.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.23,0.58,1,1,1,1
2026-01-23,BEL.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.3,0.83,1,1,1,1
2026-02-05,BEL.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.33,0.85,1,1,1,1
2026-02-05,BEL.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.43,1.19,0,1,0,0
2026-02-17,BEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.32,0.81,1,1,0,0
2026-02-17,BEL.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.41,1.14,1,1,1,1
2026-02-27,BEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.21,0.55,1,1,1,1
2026-02-27,BEL.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.27,0.77,1,1,1,1
2026-03-12,BEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.28,0.73,1,1,0,0
2026-03-12,BEL.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.36,1.01,0,0,0,0
2026-03-24,BEL.NS,1D,LOW,BEARISH,gemini:gemini-flash-lite-latest,0.46,2.52,1,1,1,1
2026-04-08,BEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.31,0.8,1,1,1,1
2026-04-08,BEL.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.39,1.11,1,1,1,1
2026-04-21,BEL.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.26,0.68,1,1,1,1
2026-04-21,BEL.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.34,0.95,0,0,0,0
2026-05-01,BEL.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.21,0.54,0,0,0,0
2026-05-13,BEL.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.28,1.52,1,1,1,1
2026-05-25,BEL.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.31,1.2,1,1,1,1
2026-06-04,BEL.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.26,0.71,1,1,1,1
2026-06-16,BEL.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.18,0.45,1,1,1,1
2026-06-16,BEL.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.23,1.76,1,1,1,1
2026-06-26,BEL.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.28,2.06,1,1,1,1
2026-07-08,BEL.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.21,0.55,1,1,1,1
2026-07-08,BEL.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.27,1.97,1,1,1,1
2026-01-01,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.15,0.36,1,1,0,1
2026-01-01,AXISBANK.NS,1D,MEDIUM,BULLISH,cerebras:gemma-4-31b,0.2,0.51,1,1,0,1
2026-01-13,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.15,0.36,1,1,1,1
2026-01-13,AXISBANK.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.2,0.5,1,1,1,1
2026-01-23,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.19,0.48,1,1,1,1
2026-01-23,AXISBANK.NS,1D,MEDIUM,BULLISH,nvidia:meta/llama-3.1-8b-instruct,0.24,0.54,1,1,1,1
2026-02-05,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.31,0.78,1,1,0,1
2026-02-05,AXISBANK.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.4,1.1,1,1,0,1
2026-02-17,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.26,0.68,0,1,0,0
2026-02-17,AXISBANK.NS,1D,MEDIUM,BULLISH,groq:llama-3.3-70b-versatile,0.34,0.95,1,1,1,1
2026-02-27,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.16,0.4,1,1,1,1
2026-02-27,AXISBANK.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.2,0.57,0,1,0,0
2026-03-12,AXISBANK.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.31,0.88,1,1,1,1
2026-03-24,AXISBANK.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.4,1.1,0,0,0,0
2026-04-08,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.31,0.81,0,1,0,0
2026-04-08,AXISBANK.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.4,2.22,1,1,1,1
2026-04-21,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.28,0.71,0,1,0,0
2026-04-21,AXISBANK.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.36,0.99,1,1,0,1
2026-05-01,AXISBANK.NS,1D,MEDIUM,BEARISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.3,0.84,1,1,1,1
2026-05-13,AXISBANK.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.3,1.99,1,1,1,1
2026-05-25,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.2,0.52,1,1,0,0
2026-05-25,AXISBANK.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.26,2.06,1,1,1,1
2026-06-04,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.19,0.48,1,1,0,1
2026-06-04,AXISBANK.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.24,1.94,1,1,1,1
2026-06-16,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.19,0.48,1,1,0,1
2026-06-26,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.16,0.41,0,0,0,0
2026-06-26,AXISBANK.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.21,0.58,1,1,1,1
2026-07-08,AXISBANK.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.18,0.47,1,1,1,1
2026-07-08,AXISBANK.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.23,0.66,1,1,1,1
2026-01-01,MARUTI.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.2,0.44,1,1,1,1
2026-01-13,MARUTI.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.18,0.44,1,1,1,1
2026-01-13,MARUTI.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.23,2.14,0,0,0,1
2026-01-23,MARUTI.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.28,0.78,1,1,1,1
2026-02-05,MARUTI.NS,1D,LOW,BEARISH,gemini:gemini-flash-lite-latest,0.36,1.46,1,1,1,1
2026-02-17,MARUTI.NS,INTRADAY,MEDIUM,BULLISH,nvidia:meta/llama-3.1-8b-instruct,0.26,0.67,0,1,0,0
2026-02-27,MARUTI.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.17,0.44,1,1,1,1
2026-02-27,MARUTI.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.22,1.35,0,0,0,0
2026-03-12,MARUTI.NS,1D,MEDIUM,BEARISH,nvidia:meta/llama-3.1-8b-instruct,0.4,1.0,1,1,1,1
2026-03-24,MARUTI.NS,1D,MEDIUM,BEARISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.44,1.22,0,0,0,0
2026-04-08,MARUTI.NS,INTRADAY,MEDIUM,BULLISH,cerebras:gemma-4-31b,0.29,0.73,1,1,1,1
2026-04-21,MARUTI.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.28,0.72,1,1,0,1
2026-04-21,MARUTI.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.36,1.02,1,1,0,0
2026-05-01,MARUTI.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.23,0.59,0,0,0,0
2026-05-01,MARUTI.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.3,0.84,1,1,1,1
2026-05-13,MARUTI.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.25,0.22,1,1,1,1
2026-05-13,MARUTI.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.32,2.54,1,1,1,1
2026-05-25,MARUTI.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.27,2.04,1,1,1,1
2026-06-04,MARUTI.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.2,0.52,1,1,1,1
2026-06-04,MARUTI.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.26,0.73,1,1,0,1
2026-06-16,MARUTI.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.21,0.53,1,1,1,1
