Centre Name,CHP Operating Hours,AAC Operating Hours,Address,Postal Code,Category,longitude,latitude,Forsg, 
Stroke Support Station Ltd @ Jurong Point,,"Mon - Fri: 9.00am - 5.30pm | Closed on Sat, Sun & Public Holiday","1 Jurong West Central 2, #06-01, 648886",648886,AAC,103.706685,1.339452004,,
Jurong Spring Community Club,"Every Tuesday,  2:00pm - 5:00pm",,"8 Jurong West Street 52, Level 2, 649296",649296,CHP,103.7181557,1.348330172,https://for.sg/chp-jurongspringcc,
Kaki Kampong Seniors Wellness Centre,"Every 2nd Wednesday of the month,  2:00pm - 5:00pm",,"500 Corporation Road, #03-01, 649808",649808,CHP,103.7165185,1.345422006,https://for.sg/chp-kakikampong-500corporationroad,
Fei Yue Active Ageing Centre (Bukit Batok),"Every Tuesday,  2:00pm - 4:30pm","
Mon - Fri: 9.30am - 6.00pm

","183 Bukit Batok West Avenue 8, #01-101, 650183",650183,AAC & CHP,103.7433778,1.346326381,https://for.sg/chp-fyaac183btbatok,
MINDS Satellite Hub (Bukit Batok),"Every 3rd Friday of the month,  2:00pm - 5:00pm",,"212 Bukit Batok Street 21, #01-225, 650212",650212,CHP,103.7522173,1.347192811,https://for.sg/chp-minds-212bukitbatok,
THK AAC @ Bukit Batok,"Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm

","235 Bukit Batok East Avenue 5, Gombak Gardens, #01-21, 650235",650235,AAC & CHP,103.7563004,1.348483521,https://for.sg/chp-thk-235bukitbatok,
Anglican Care Centre (Bukit Batok) ,"Every 2nd and 4th Monday of the month,  9:00am - 12:00pm",,"267 Bukit Batok East Avenue 4, #01-206, 650267",650267,CHP,103.7598926,1.348809566,https://for.sg/chp-anglicancare-267bukitbatok,
FRCS Active Ageing Centre,,"Mon - Fri: 8.30am - 5.30pm | Closed on Sat, Sun","386 Bukit Batok West Avenue 5, #01-348, 650386",650386,AAC,103.752556,1.363939422,,
REACH Senior Centre @ Bukit Batok (BB),"Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm","
Mon - Wed & Fri: 9.00am - 5.30pm | Thu: 1.30pm - 5.30pm

","417 Bukit Batok West Avenue 4, #01-284, 650417",650417,AAC & CHP,103.7465392,1.362890991,https://for.sg/chp-reach-417bukitbatok,
NTUC Health Active Ageing Centre (Care) (Bukit Batok West),"Every Wednesday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm | Sat: For events only | Closed on Sun & Public Holiday

","439 Bukit Batok West Avenue 8, #02-01, 650439",650439,AAC & CHP,103.739983,1.357357581,https://for.sg/chp-ntuchealth439bb,
Fei Yue Active Ageing Centre (Bukit Batok extension),"Every Tuesday,  10:00am - 11:30am","
Mon - Fri: 9.30am - 6.00pm

","210A Bukit Batok Street 21, #01-294, 651210",651210,AAC & CHP,103.7508358,1.345428475,https://for.sg/chp-fyaac210abtbatok,
Tzu Chi SEEN @ Bukit Batok,"Every Monday,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 5.30pm | Sat: 8.30am - 12.30pm | (Closed on Sunday and Public Holidays)

","230A Bukit Batok Street 21, #02-423, 651230",651230,AAC & CHP,103.7557831,1.34755154,https://for.sg/mindshubbbchp,
REACH Senior Centre @ Bukit Gombak Vista (BGV),"Every Thursday,  2:00pm - 5:00pm","
Mon - Wed & Fri: 9.00am - 5.30pm | Thu: 1.30pm - 5.30pm

","377A Bukit Batok Street 31, #01-24, 651377",651377,AAC & CHP,103.7498675,1.359219483,https://for.sg/chp-reach377abb,
New Hope CS - JSS-OR (BBW),"Every 1st and 3rd Tuesday of the month,  2:00pm - 4:30pm",,"465A Bukit Batok West Avenue 8, 651465",651465,CHP,103.742673,1.357308757,https://for.sg/chp-newhope-465abbw,
"""Good Old Place"" Activity Centre by Vanguard Healthcare Harmony Village @ Bukit Batok","Every 2nd and 4th Tuesday of the month ,  2:00pm - 4:30pm",,"469A  Bukit Batok West Avenue 9, #03-401, 651469",651469,CHP,103.7420785,1.355445832,https://for.sg/chp-469abukitbatokwest,
Active Ageing Centre @ Bukit Batok East,"Every Monday,  9:30am - 12:00pm ","
Mon - Fri: 9.30am - 12.30pm, 2.00pm - 5.30pm

","288D Bukit Batok Street 25, #01-40, 653288",653288,AAC & CHP,103.7592601,1.345803048,https://for.sg/reachbbchp,
Bukit Batok East Community Health Resource Centre @ Nature View,"Every 1st and 3rd Monday of the month,  9:00am - 12:00pm",,"289F Bukit Batok Street 25, #01-134, 655289",655289,CHP,103.7590468,1.34463617,https://for.sg/chp-289fbukitbatok,
Ren Ci AAC (Care) @ Bukit Batok St. 52,"Every Friday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 5.30pm | Closed on Sat, Sun & Public Holiday | (Half day on eve of PH)

","31 Bukit Batok Street 52, 659251",659251,AAC & CHP,103.7515598,1.354991193,https://for.sg/chp-renci-31bukitbatok,
Adventist Nursing and Rehabilitation Centre @128 Pending,"Every 2nd and 4th Tuesday of the month,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 5:30pm | Closed on Sat, Sun & Public Holiday

","128 Pending Road, #01-328, 670128",670128,AAC & CHP,103.7697662,1.375995112,https://for.sg/chp-adventist128pending,
Cashew Zone 1 RC Centre,"Every 2nd and 4th Thursday of the month,  9:00am - 12:00pm",,"140 Petir Road, #01-320, 670140",670140,CHP,103.7689524,1.375502991,https://for.sg/chp-cashewzone1,
Adventist Nursing & Rehabilitation Centre @ 225 Pending,"Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm",,"225 Pending Road, #01-165, 670225",670225,CHP,103.7725452,1.375540494,https://for.sg/chp-adventistnursing-225pending,
Fei Yue Active Ageing Centre (Fajar),"Every 1st and 3rd Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","406 Fajar Road, #01-295, 670406",670406,AAC & CHP,103.7675731,1.381850258,https://for.sg/chp-feiyue-406fajarroad,
Precious Active Ageing Centre (Fajar Spring),"Every Thursday,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 6.00pm

","454 Fajar Road, #01-582, 670454",670454,AAC & CHP,103.7715374,1.384502431,https://for.sg/chp-preciousaac454fajarspring,
New Life Community Services Active Ageing Centre (Care) @Jelapang,"Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.00am - 5.00pm

","525 Jelapang Road, #01-123, 670525",670525,AAC & CHP,103.7654066,1.386592759,https://for.sg/chp-newlife-jelapang,
Cashew Zone 3 Residents' Committee,"Every Wednesday,  2:00pm - 5:00pm",,"607 Senja Road, #01-02, 670607",670607,CHP,103.7615163,1.382519651,https://for.sg/chp-cashewzone3rc607senja,
Fei Yue Active Ageing Centre (Senja),"Every Tuesday,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","634B Senja Road, #02-227, 672634",672634,AAC & CHP,103.7583286,1.386119886,https://for.sg/chp-fy634bsenja,
Vanguard Active Ageing Centre (Care) @ Senja,,"Mon - Fri: 8.30am - 6.00pm

","50 Woodlands Road, Senja Care Home, #03-01, 677726",677726,AAC,103.7601664,1.382712541,,
NTUC Health Active Ageing Centre (Bukit Panjang),"Every 1st and 3rd Wednesday of the month,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm | Sat: Events only | Closed on Sunday & PH

","2 Bukit Panjang Ring Road, #02-06, 679947",679947,AAC & CHP,103.7724897,1.377600591,https://for.sg/chp-ntuc-btpanjang,
Fei Yue Active Ageing Centre (Teck Whye),"Every 1st and 4th Tuesday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","9 Teck Whye Lane, #01-268, 680009",680009,AAC & CHP,103.7541455,1.380035012,https://for.sg/chp-fy9teckwhye,
REACH-SLEC Active Ageing Centre (Care) @ Teck Whye Vista,"Every 1st and 3rd Friday of the month,  9:00am - 12:00pm","
Mon - Wed & Fri: 9.00am - 5.30pm | Thu: 1.30pm - 5.30pm

","153 Jalan Teck Whye, #03-151, 680153",680153,AAC & CHP,103.7585549,1.379151239,https://for.sg/chp-reach-153teckwhye,
Fei Yue Active Ageing Centre (Chua Chu Kang),,Mon - Fri: 9.30am - 5pm,"206 Choa Chu Kang Central, 680206",680206,AAC,103.7483399,1.380667067,,
Fei Yue Active Ageing Centre (Limbang),"Every 2nd and 4th Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","536 Choa Chu Kang Street 51, #01-142, 680536",680536,AAC & CHP,103.7440503,1.391818474,https://for.sg/chp-fy536cck,
Fei Yue Active Ageing Centre (Limbang Green),"Every 1st and 3rd Monday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","574 Choa Chu Kang Street 52, #01-296, 680574",680574,AAC & CHP,103.7451427,1.394414902,https://for.sg/chp-fy574cck,
PCF Sparkle Care Active Ageing Centre (Care) @ Yew Tee,"Every 1st and 3rd Tuesday of the month,  2:30pm - 5:00pm","
Mon - Fri: 9.00am - 6.00pm | Sat: 9.00am - 1.00pm | Closed on Sun & Public Holiday

","625 Choa Chu Kang Street 62, #01-206, 680625",680625,AAC & CHP,103.7460341,1.398630652,https://for.sg/chp-pcf625cck,
Fei Yue Active Ageing Centre (Teck Whye extension),"Every 1st and 4th Thursday of the month,  2:00pm - 5:00pm","
Mon - Fri: 9.30am - 6.00pm

","165A Teck Whye Crescent, #01-331, 681165",681165,AAC & CHP,103.7535171,1.382737046,https://for.sg/chp-fy165ateckwhye,
Yew Tee Zone 8 Residents' Committee,"Every Monday,  9:00am - 12:00pm",,"673A Choa Chu Kang Crescent #01-413, 681673",681673,CHP,103.7475242,1.401014168,https://for.sg/chp-yewteezone8rc673acck,
Fei Yue Active Ageing Centre (Brickland),"Every 1st and 3rd Wednesday of the month,  9:00am - 12:00pm","
Mon - Fri: 9.30am - 6.00pm

","809A Choa Chu Kang Avenue 1, #01-628, 681809",681809,AAC & CHP,103.7450182,1.375209773,https://for.sg/chp-fybrickland809acck,
Precious Active Ageing Centre (Sunshine Gardens),"Every 1st and 2nd Wednesday of the month,  9:00am - 12:00pm","
Mon - Fri: 8.30am - 6.00pm

","488B Choa Chu Kang Avenue 5, #01-145, 682488",682488,AAC & CHP,103.7392932,1.376973982,https://for.sg/chp-precious488bcck,
Fei Yue Active Ageing Centre (Sunshine Court),"Every 2nd and 4th Thursday of the month,  9:30am - 12:30pm ","
Mon - Fri: 9.30am - 6.00pm

","476C Choa Chu Kang Avenue 5, #01-43, 683476",683476,AAC & CHP,103.7379129,1.377346842,https://for.sg/chp-fysunshinecourt476ccck,
Choa Chu Kang Community Club,"Every 2nd & 3rd Tuesday of the month,  2:00pm - 5:00pm",,"35 Teck Whye Avenue, #03-01, 688892",688892,CHP,103.7519039,1.381155291,https://for.sg/chp-cckcc,
SerivceSG @ Keat Hong Community Club,"Every Tuesday,  10:00am -12:30pm",,"2 Choa Chu Kang Loop, Keat Hong CC, #01-01, 689687",689687,CHP,103.7449494,1.384095872,https://for.sg/chp-keathongcc-2choachuakangloop,
Vanguard Active Ageing Centre (Care),"Every 2nd and 4th Wednesday of the month, 9.00am to 12.00pm",,"Saujana Road, Singapore 679910",679910,CHP,103.7646763,1.381638133,https://for.sg/chp-vanguard-saujana,
Caregiving Welfare Association,"Every 1st Monday of the month, 9.00am to 12.00pm",,"3 Ghim Moh Road, #01-294, Singapore 270003",270003,CHP,103.7871897,1.311998913,https://for.sg/chp-3ghimmoh,
FaithActs (Block 33A Margaret Drive Residents' Network),"Every 1st Wednesday of the month, 2.00pm to 5.00pm",,"33 Margaret Drive, #01-04, Singapore 140033",141033,CHP,103.8045159,1.298331096,https://for.sg/chp-faithacts-33amargaretdr,
