neutro,maschile,femminile,plurale,femminileplurale,raro
Buco di culo,Buco di culo,Buco di culo,Buchi di culo,Buchi di culo,
Con un forte accento bergamasco,Con un forte accento bergamasco,Con un forte accento bergamasco,Con un forte accento bergamasco,Con un forte accento bergamasco,
Asdrubalante,Asdrubalante,Asdrubalante,Asdrubalanti,Asdrubalanti,
Vibrante,Vibrante,Vibrante,Vibranti,Vibranti,
Caliente,Caliente,Caliente,Calienti,Calienti,
Eccitante,Eccitante,Eccitante,Eccitanti,Eccitanti,
Segante,Segante,Segante,Seganti,Seganti,
Scopante,Scopante,Scopante,Scopanti,Scopanti,
Cagarellante,Cagarellante,Cagarellante,Cagarellanti,Cagarellanti,
Macchiante,Macchiante,Macchiante,Macchianti,Macchianti,
Incontinente,Incontinente,Incontinente,Incontinenti,Incontinenti,
Gemente,Gemente,Gemente,Gementi,Gementi,
Performante,Performante,Performante,Performanti,Performanti,
Sniffante,Sniffante,Sniffante,Sniffanti,Sniffanti,
Folgorante,Folgorante,Folgorante,Folgoranti,Folgoranti,
Gocciolante,Gocciolante,Gocciolante,Gocciolanti,Gocciolanti,
Rizzante,Rizzante,Rizzante,Rizzanti,Rizzanti,
Scompisciante,Scompisciante,Scompisciante,Scompiscianti,Scompiscianti,
Sburrante,Sburrante,Sburrante,Sburranti,Sburranti,
Ninfomane,Ninfomane,Ninfomane,Ninfomani,Ninfomani,
Abominevole,Abominevole,Abominevole,Abominevoli,Abominevoli,
Gigante,Gigante,Gigantessa,Giganti,Gigantesse,
Piacevole,Piacevole,Piacevole,Piacevoli,Piacevoli,
Sensuale,Sensuale,Sensuale,Sensuali,Sensuali,
Omosessuale,Omosessuale,Omosessuale,Omosessuali,Omosessuali,
Petulante,Petulante,Petulante,Petulanti,Petulanti,
Pizzicolante,Pizzicolante,Pizzicolante,Pizzicolanti,Pizzicolanti,
Orgasmante,Orgasmante,Orgasmante,Orgasmanti,Orgasmanti,
Vegetante,Vegetante,Vegetante,Vegetanti,Vegetanti,
Indulgente,Indulgente,Indulgente,Indulgenti,Indulgenti,
Bocca larga,Bocca larga,Bocca larga,Bocche larghe,Bocche larghe,
Culo stretto,Culo stretto,Culo stretto,Culi stretti,Culi stretti,
Mani rapide,Mani rapide,Mani rapide,Mani rapide,Mani rapide,
Imprecante,Imprecante,Imprecante,Imprecanti,Imprecanti,
Salivante,Salivante,Salivante,Salivanti,Salivanti,
Ortofruttante,Ortofruttante,Ortofruttante,Ortofruttanti,Ortofruttanti,
Strimpellante,Strimpellante,Strimpellante,Strimpellanti,Strimpellanti,
Seno esplosivo,Seno esplosivo,Seno esplosivo,Seni esplosivi,Seni esplosivi,
Passione fisting,Passione fisting,Passione fisting,Passione fisting,Passione fisting,
Saccente,Saccente,Saccente,Saccenti,Saccenti,
Orifizio dilatato,Orifizio dilatato,Orifizio dilatato,Orifizi dilatati,Orifizi dilatati,
Comunista,Comunista,Comunista,Comunisti,Comuniste,
Fascista,Fascista,Fascista,Fascisti,Fasciste,
Eccessivamente omosessuale,Eccessivamente omosessuale,Eccessivamente omosessuale,Eccessivamente omosessuali,Eccessivamente omosessuali,
Che salta sui tetti,Che salta sui tetti,Che salta sui tetti,Che saltano sui tetti,Che saltano sui tetti,
Che corre nei campi,Che corre nei campi,Che corre nei campi,Che corrono nei campi,Che corrono nei campi,
Provocante,Provocante,Provocante,Provocanti,Provocanti,
Effervescente,Effervescente,Effervescente,Effervescenti,Effervescenti,
Con la felpa di Salvini,Con la felpa di Salvini,Con la felpa di Salvini,Con le felpe di Salvini,Con le felpe di Salvini,
Fessa dentata,Fessa dentata,Fessa dentata,Fesse dentate,Fesse dentate,
Culo peloso,Culo peloso,Culo peloso,Culi pelosi,Culi pelosi,
Down,Down,Down,Down,Down,
Su una sedia a rotelle,Su una sedia a rotelle,Su una sedia a rotelle,Su una sedia a rotelle,Su una sedia a rotelle,
Intollerante al lattosio,Intollerante al lattosio,Intollerante al lattosio,Intolleranti al lattosio,Intolleranti al lattosio,
Bocchinante,Bocchinante,Bocchinante,Bocchinanti,Bocchinanti,
Naso imponente,Naso imponente,Naso imponente,Nasi imponenti,Nasi imponenti,
Dissacrante,Dissacrante,Dissacrante,Dissacranti,Dissacranti,
Elefante,Elefante,Elefantessa,Elefanti,Elefantesse,
Feticista,Feticista,Feticista,Feticisti,Feticiste,
Sconvolgente,Sconvolgente,Sconvolgente,Sconvolgenti,Sconvolgenti,
Saltasburellante,Saltasburellante,Saltasburellante,Saltasburellanti,Saltasburellanti,
Necromante,Necromante,Necromante,Necromanti,Necromanti,
Che picchia i bambini,Che picchia i bambini,Che picchia i bambini,Che picchiano i bambini,Che picchiano i bambini,
Che deruba le vecchie,Che deruba le vecchie,Che deruba le vecchie,Che derubano le vecchie,Che derubano le vecchie,
Pluriomicida,Pluriomicida,Pluriomicida,Pluriomicidi,Pluriomicide,
Sodomita,Sodomita,Sodomita,Sodomiti,Sodomite,
Filibustier*,Filibustiere,Filibustiera,Filibustieri,Filibustiere,
Alito fetente,Alito fetente,Alito fetente,Aliti fetenti,Aliti fetenti,
Senpai,Senpai,Senpai,Senpai,Senpai,
Bueo,Bueo,Buea,Buei,Buee,
Con il parrucchino,Con il parrucchino,Con il parrucchino,Con il parrucchino,Con il parrucchino,
A forma di scarpiera,A forma di scarpiera,A forma di scarpiera,A forma di scarpiera,A forma di scarpiera,
Geneticamente modificat*,Geneticamente modificato,Geneticamente modificata,Geneticamente modificati,Geneticamente modificate,
Che brilla al buio,Che brilla al buio,Che brilla al buio,Che brillano al buio,Che brillano al buio,
Fetente,Fetente,Fetente,Fetenti,Fetenti,
Costosett*,Costosetto,Costosetta,Costosetti,Costosette,
Un po' cesso,Un po' cesso,Un po' cesso,Un po' cessi,Un po' cesse,
E la sua bussy,E la sua bussy,E la sua bussy,E la loro bussy,E la loro bussy,
Mastodontic*,Mastodontico,Mastodontica,Mastodontici,Mastodontiche,
In plastica riciclabile,In plastica riciclabile,In plastica riciclabile,In plastica riciclabile,In plastica riciclabile,
7 ore prima dell'arresto,7 ore prima dell'arresto,7 ore prima dell'arresto,7 ore prima dell'arresto,7 ore prima dell'arresto,
Impestat*,Impestato,Impestata,Impestati,Impestate,
Malat* di AIDS,Malato di AIDS,Malata di AIDS,Malati di AIDS,Malate di AIDS,
Fulminat* sulla via di damasco,Fulminato sulla via di damasco,Fulminata sulla via di damasco,Fulminati sulla via di damasco,Fulminate sulla via di damasco,
e le sue personalità multiple,e le sue personalità multiple,e le sue personalità multiple,e le loro personalità multiple,e le loro personalità multiple,
e la sua ciola,e la sua ciola,e la sua ciola,e le loro ciole,e le loro ciole,
Faccendier* di mafia,Faccendiere di mafia,Faccendiera di mafia,Faccendieri di mafia,Faccendiere di mafia,
da troie accompagnat*,da troie accompagnato,da troie accompagnata,da troie accompagnati,da troie accompagnate,
che favoreggia la prostituzione,che favoreggia la prostituzione,che favoreggia la prostituzione,che favoreggiano la prostituzione,che favoreggiano la prostituzione,
Mongoplettic*,Mongoplettico,Mongoplettica,Mongoplettici,Mongoplettiche,
Tetton*,Tettone,Tettona,Tettoni,Tettone,
con una banana nel culo,con una banana nel culo,con una banana nel culo,con una banana nel culo,con una banana nel culo,
Remigrat*,Remigrato,Remigrata,Remigrati,Remigrate,
Scem* Pagliacci*,Scemo Pagliaccio,Scema Pagliaccia,Scemi Pagliacci,Sceme Pagliacce,
Sionista,Sionista,Sionista,Sionisti,Sioniste,
Felicemente Cornut*,Felicemente Cornuto,Felicemente Cornuta,Felicemente Cornuti,Felicemente Cornute,
Figli* di troia,Figlio di troia,Figlia di troia,Figli di troia,Figlie di troia,
Gran Minchion*,Gran Minchione,Gran Minchiona,Gran Minchioni,Gran Minchione,
Chan,Chan,Chan,Chan,Chan,
Kawaii :3,Kawaii :3,Kawaii :3,Kawaii :3,Kawaii :3,
Orripilante,Orripilante,Orripilante,Orripilanti,Orripilanti,
Sburrastic*,Sburrastico,Sburrastica,Sburrastici,Sburrastiche,
Pedofil*,Pedofilo,Pedofila,Pedofili,Pedofile,
Focomelic*,Focomelico,Focomelica,Focomelici,Focomeliche,
Digievolut*,Digievoluto,Digievoluta,Digievoluti,Digievolute,
Abortit*,Abortito,Abortita,Abortiti,Abortite,
Malat* di figa,Malato di figa,Malata di figa,Malati di figa,Malate di figa,
nei dintorni,nei dintorni,nei dintorni,nei dintorni,nei dintorni,
Fresc* di Zona,Fresco di Zona,Fresca di Zona,Freschi di Zona,Fresche di Zona,
Bel Giuovinott*,Bel Giuovinotto,Bella Giuovinotta,Bei Giuovinotti,Belle Giuovinotte,
Orfanenell*,Orfanenello,Orfanenella,Orfanenelli,Orfanenelle,
Scem*,Scemo,Scema,Scemi,Sceme,
Roman* de Roma AOOO,Romano de Roma AOOO,Romana de Roma AOOO,Romani de Roma AOOO,Romane de Roma AOOO,
Inopportun*,Inopportuno,Inopportuna,Inopportuni,Inopportune,
Bell* ma Stronz*,Bello ma Stronzo,Bella ma Stronza,Belli ma Stronzi,Belle ma Stronze,
Calcol* Renale,Calcolo Renale,Calcolo Renale,Calcoli Renale,Calcoli Renale,
Tirolese,Tirolese,Tirolese,Tirolesi,Tirolesi,
Hypertroi*,Hypertroio,Hypertroia,Hypertroii,Hypertroie,
Trepidante,Trepidante,Trepidante,Trepidanti,Trepidanti,
Dislessic*,Dislessico,Dislessica,Dislessici,Dislessiche,
Decurtat*,Decurtato,Decurtata,Decurtati,Decurtate,
nel suo prime con un cazzo in culo,nel suo prime con un cazzo in culo,nel suo prime con un cazzo in culo,nel loro prime con dei cazzi in culo,nel loro prime con dei cazzi in culo,
Pirla,Pirla,Pirla,Pirla,Pirla,
Disagiat*,Disagiato,Disagiata,Disagiati,Disagiate,
Mona,Mona,Mona,Mona,Mona,
Lamenton*,Lamentone,Lamentona,Lamentoni,Lamentone,
con 7 figli illegittimi,con 7 figli illegittimi,con 7 figli illegittimi,con 7 figli illegittimi,con 7 figli illegittimi,
un po' cinese,un po' cinese,un po' cinese,un po' cinesi,un po' cinesi,
Contro Natura,Contro Natura,Contro Natura,Contro Natura,Contro Natura,
Tutt* Fatt*,Tutto Fatto,Tutta Fatta,Tutti Fatti,Tutte Fatte,
Inutile,Inutile,Inutile,Inutili,Inutili,
Dispers* nei Campi Flegrei,Disperso nei Campi Flegrei,Dispersa nei Campi Flegrei,Dispersi nei Campi Flegrei,Disperse nei Campi Flegrei,
con il potere del cristallo di luna,con il potere del cristallo di luna,con il potere del cristallo di luna,con il potere del cristallo di luna,con il potere del cristallo di luna,
Tord*,Tordo,Torda,Tordi,Torde,
