Framework,Standardized Rule No,Contextual Title,Atomic Statutory Content
BSRA,BSRA Section 10(a),"10. Formation of the Board- The Board shall consist of not less than twelve (12) and not more than sixteen (16) members,","(a) Twelve members designated by virtue of their official positions among senior relevant Government officials, including— (i) One representatives from the Ministry of Industries holding the rank of no less than Additional Secretary who shall be the Chair of the Board, (ii) Two representatives from the Ministry of Industries holding a rank of no less than Joint Secretary (iii) One representative from the Ministry of Shipping holding a rank of no less than Joint Secretary (iv) One representative from the Ministry of Environment & Forest holding a rank of no less than Joint Secretary (v) one representative from the Ministry of Labour and Employment holding a rank of no less than Joint Secretary, (vi) One representative nominated by Bangladesh Navy , (vii) One representative from National Board of Revenue, (viii) Divisional Commissioner of Chittagong, (ix) Deputy Inspector General, Chattogram Range, Bangladesh Police (x) A representative nominated by the Energy and Mineral Resources Division, not below the rank of Joint Secretary or equivalent (xi) Director General of Ship Breaking Board who also shall work as the member secretary of the Board"
BSRA,BSRA Section 10(b),"10. Formation of the Board- The Board shall consist of not less than twelve (12) and not more than sixteen (16) members,","(b) The Board may, subject to the approval of the Ministry of Industries, co-opt one or more persons as members of the Board, if necessary."
BSRA,BSRA Section 10(c),"10. Formation of the Board- The Board shall consist of not less than twelve (12) and not more than sixteen (16) members,","(c) The Board shall, with the prior approval of the Government (Ministry of Industries), constitute a high-level Technical Committee comprising six (6) members, to be nominated by the Government on the basis of relevant qualifications and experience, for the purpose of advising the Board on policy formulation and decision-making in relation to technical matters, international legal instruments and industry best practices."
BSRA,BSRA Section 10(d),"10. Formation of the Board- The Board shall consist of not less than twelve (12) and not more than sixteen (16) members,","(d) The members of the Technical Committee shall be nominated by the Board and shall hold office for a term of three (3) years. However, the Board may, at its discretion, replace any member at any time, if deemed appropriate. (d) The Ministry of Industries shall assess and determine the suitability of the nominated members based on their qualifications and experience. The Board shall prescribe the terms of reference of the Technical Committee."
BSRA,BSRA Section 10(e),"10. Formation of the Board- The Board shall consist of not less than twelve (12) and not more than sixteen (16) members,","(e) The members as mentioned in subsection (c) above shall represent diverse interests of the ship recycling industry and shall possess proven expertise in relevant fields, including but not limited to naval architecture, maritime transport, maritime engineering, ship recycling trade and economics, maritime law and ship recycling regulatory frameworks."
BSRA,BSRA Section 10(i),"10. Formation of the Board- The Board shall consist of not less than twelve (12) and not more than sixteen (16) members,","(i) possessing a stake in any company or firm that may contract with or be engaged by the Board; or (ii) possessing a stake or interest in any newspaper wherein advertisements pertaining to the Board's affairs may be published; or (iii) having an interest in any loan extended to the Board; or (iv) possessing a stake or interest in any lease, sale, exchange, or acquisition of immovable property or any agreement thereof; or (v) possessing a stake or interest in any lease or license granted by the Board or any right, by agreement or otherwise, to the exclusive or preferential use of any premises or property belonging to the Board; or (vi) possessing a stake or interest in the occasional sale to the Board, not exceeding ten thousand taka in any single financial year, of any object in which he engages in trade."
BSRA,BSRA Section 11,"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar","11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Board shall be as follows: -"
BSRA,BSRA Section 11(a),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar",(a) the overall supervision of ship recycling operations in Bangladesh as covered by regulation as promulgated by the Government;
BSRA,BSRA Section 11(b),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar",(b) review and evaluate the overall activities of the Yard from time to time;
BSRA,BSRA Section 11(c),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar",(c) the approval of the Ship Recycling Plan (SRP);
BSRA,BSRA Section 11(d),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar",(d) the approval of the Ship Recycling Facility Plan (SRFP); [Glossary Mapping: SRF = Ship Recycling Facility | SRFP = Ship Recycling Facility Plan]
BSRA,BSRA Section 11(e),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar","(e) to take action in the light of labour laws and petroleum and explosives laws to ensure the health and safety of workers and to eliminate risks in the workplace, and to coordinate with the relevant ministries, agencies or departments where necessary;"
BSRA,BSRA Section 11(f),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar","(f) to take action in the light of environmental law to ensure ship recycling in an environmentally sound manner and to coordinate with the relevant ministries, agencies or departments where necessary;"
BSRA,BSRA Section 11(g),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar","(g) to take action in the light of the existing laws relating to Bangladesh Customs and Excise and to coordinate with the relevant ministries, agencies or offices, if necessary;"
BSRA,BSRA Section 11(h),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar",(h) to send recommendations or proposals to the Government for the development of the ship recycling industry and to take action in accordance with the directives of the Government in this regard;
BSRA,BSRA Section 11(i),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar",(i) to make recommendations to the Government on the establishment of new zones or the expansion of existing zones for the purpose of developing the ship recycling industry;
BSRA,BSRA Section 11(j),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar","(j) Undertake national and international cooperation in ship recycling activities and for this purpose, with the prior approval of the Government, enter into agreements with domestic and foreign organizations or institutions;"
BSRA,BSRA Section 11(k),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar","(k) liaise with national and international organizations, research institutions and universities; and"
BSRA,BSRA Section 11(l),"11. Functions and Powers of the Board: Subject to the other provisions of this Act, the functions and powers of the Boar",(l) to exercise such other powers and perform such other functions as may be assigned to him by the Government.
BSRA,BSRA Section 12,"12. Meeting-(1) Subject to the other provisions of this section, the Board may determine the procedure of its meetings.","12. Meeting-(1) Subject to the other provisions of this section, the Board may determine the procedure of its meetings."
BSRA,BSRA Section 12(2),"12. Meeting-(1) Subject to the other provisions of this section, the Board may determine the procedure of its meetings.",(2) The meeting of the Board shall be held at the place and time fixed by the Chairman.
BSRA,BSRA Section 12(3),"12. Meeting-(1) Subject to the other provisions of this section, the Board may determine the procedure of its meetings.",(3) At least one meeting of the Board shall be held every four (4) months.
BSRA,BSRA Section 12(4),"12. Meeting-(1) Subject to the other provisions of this section, the Board may determine the procedure of its meetings.",(4) The Chairman shall preside at all meetings of the Board and in his absence one of its members nominated by the Chairman shall preside at the meeting.
BSRA,BSRA Section 12(5),"12. Meeting-(1) Subject to the other provisions of this section, the Board may determine the procedure of its meetings.","(5) Every member of the Board shall have one vote and the decision of the meeting shall be taken by a majority vote, but in case of equality of votes, the person presiding over the meeting shall have the power to cast a second or casting vote."
BSRA,BSRA Section 12(6),"12. Meeting-(1) Subject to the other provisions of this section, the Board may determine the procedure of its meetings.","(6) Attendance of not less than one-third of the total number of members of the Board shall be required to fill the quorum at a meeting of the Board, but in the case of an adjourned meeting no quorum shall be required."
BSRA,BSRA Section 13,13. The Director General of the Board: (1) The Government shall appoint an appropriate public servant as the Director Ge,13. The Director General of the Board: (1) The Government shall appoint an appropriate public servant as the Director General of the Board. the Employees of the Board
BSRA,BSRA Section 13(2),13. The Director General of the Board: (1) The Government shall appoint an appropriate public servant as the Director Ge,(2) The Director General shall be the Chief Executive of the Board and shall exercise the powers and perform the functions assigned to him by the Board.
BSRA,BSRA Section 13(3),13. The Director General of the Board: (1) The Government shall appoint an appropriate public servant as the Director Ge,(3) The Director-General shall be responsible to the Board for the performance of his functions and those of his subordinates.
BSRA,BSRA Section 14,"14. the Employees of the Board: (1) The Board may, in accordance with the organizational structure approved by the Gover","14. the Employees of the Board: (1) The Board may, in accordance with the organizational structure approved by the Government, appoint such number of employees as may be necessary for the discharge of its functions. CHAPTER IV"
BSRA,BSRA Section 14(2),"14. the Employees of the Board: (1) The Board may, in accordance with the organizational structure approved by the Gover",(2) The conditions of appointment and service of the employees of the Board shall be determined by regulations.
BSRA,BSRA Section 14(3),"14. the Employees of the Board: (1) The Board may, in accordance with the organizational structure approved by the Gover","(3) For the purpose of this Act, the Government may requisition suitable employees from the Department of Environment, Bangladesh Customs, Directorate of Labour, Directorate of Inspection of Factories and Establishments and Directorate of Explosives."
BSRA,BSRA Section 15,"15. visit- (1) Subject to the provisions of this section, any person generally or specially authorized by the Board in t","15. visit- (1) Subject to the provisions of this section, any person generally or specially authorized by the Board in this behalf may inspect the yard, imported or locally procured vessels and ship recycling activities."
BSRA,BSRA Section 15(2),"15. visit- (1) Subject to the provisions of this section, any person generally or specially authorized by the Board in t","(2) During the inspection under sub-section (1), the authority operating the yard and the ship importing company and all the officers and employees of the ship shall be obliged to provide necessary assistance."
BSRA,BSRA Section 16,"16. Power to enter, call for records, inquire, etc. -For the purposes of this Act, every employee empowered in this beha","16. Power to enter, call for records, inquire, etc. -For the purposes of this Act, every employee empowered in this behalf by the Board in general or in particular may exercise the following powers, namely: - CHAPTER V Environmental protection and workers' health and safety"
BSRA,BSRA Section 16(a),"16. Power to enter, call for records, inquire, etc. -For the purposes of this Act, every employee empowered in this beha","(a) to enter any yard, vessel or project area and to question any person or to ask for and review any records or data;"
BSRA,BSRA Section 16(b),"16. Power to enter, call for records, inquire, etc. -For the purposes of this Act, every employee empowered in this beha",(b) inspecting the yard ship or anything located in the project area; and
BSRA,BSRA Section 16(c),"16. Power to enter, call for records, inquire, etc. -For the purposes of this Act, every employee empowered in this beha","(c) to conduct any search or sample collection or survey in the said yard, ship or project area."
BSRA,BSRA Section 17,"17. Protection of the environment – (1) For the purpose of this Act, the Government may issue guidelines or directions i","17. Protection of the environment – (1) For the purpose of this Act, the Government may issue guidelines or directions in the light of the existing laws and rules relating to the environment for the collection, storage and management of all types of waste produced from ship recycling activities."
BSRA,BSRA Section 17(2),"17. Protection of the environment – (1) For the purpose of this Act, the Government may issue guidelines or directions i",(2) The Government shall construct a Treatment Storage and Disposal Facility (TSDF) for the management of waste generated from ship recycling activities within a period not exceeding 5 (five) years from the commencement of this Act. [Glossary Mapping: SRF = Ship Recycling Facility | SRFP = Ship Recycling Facility Plan]
BSRA,BSRA Section 17(3),"17. Protection of the environment – (1) For the purpose of this Act, the Government may issue guidelines or directions i",(3) The use of TSDF shall be mandatory for all concerned and the Government may issue guidelines or instructions regarding its operation and use.
BSRA,BSRA Section 18,18. Class of workers (1) The Government may formulate classifications of work according to the type of ship recycling wo,18. Class of workers (1) The Government may formulate classifications of work according to the type of ship recycling work by determining the minimum qualification.
BSRA,BSRA Section 19,19. Training and placement of workers- (1) The Board shall provide suitable training in the manner prescribed in the rul,19. Training and placement of workers- (1) The Board shall provide suitable training in the manner prescribed in the rules for the purpose of acquiring the necessary skills according to the work classification.
BSRA,BSRA Section 19(2),19. Training and placement of workers- (1) The Board shall provide suitable training in the manner prescribed in the rul,"(2) In order to improve the skills of workers and employees, the Ministry of Industries shall establish a training institute within a period of not more than five (5) years from the commencement of this Act."
BSRA,BSRA Section 19(3),19. Training and placement of workers- (1) The Board shall provide suitable training in the manner prescribed in the rul,(3) The Board shall maintain a database of trained workers and employees and the yard owners shall recruit workers from among the workers included in the database.
BSRA,BSRA Section 20,20. Insurance and compensation- (1) The yard owners shall compulsorily insure life in the name of all workers and employ,20. Insurance and compensation- (1) The yard owners shall compulsorily insure life in the name of all workers and employees working in the yard. CHAPTER VI Board Reporting and Financial Management
BSRA,BSRA Section 20(2),20. Insurance and compensation- (1) The yard owners shall compulsorily insure life in the name of all workers and employ,"(2) If any worker-employee dies or is seriously injured due to an accident in the yard, the yard owners may, in the manner prescribed by the rules, pay compensation to his family or to him in addition to the compensation mentioned in the Bangladesh Labour Act, according to the efficiency and work classification of the worker-employee."
BSRA,BSRA Section 21,"21. Annual Report- (1) The Board shall, within three months after the end of the financial year, submit to the Governmen","21. Annual Report- (1) The Board shall, within three months after the end of the financial year, submit to the Government an annual report containing details of the activities carried out by it in each financial year."
BSRA,BSRA Section 21(2),"21. Annual Report- (1) The Board shall, within three months after the end of the financial year, submit to the Governmen","(2) The Government may, if necessary, at any time call for statements, returns, reports and information from the Board on any of its matters and the Board shall be bound to furnish the same to the Government."
BSRA,BSRA Section 22,"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:","22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely: - explanation. - In this section, ""Scheduled Bank"" means the Bangladesh Bank Order, 1972 (P.O. """" ""Scheduled Bank"" ""as defined in Article 2 (j) of No. 127 of 1972)."""
BSRA,BSRA Section 22(a),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:",(a) loans and grants made by the Government;
BSRA,BSRA Section 22(b),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:","(b) Grants received from any foreign government, organization or international organization with the prior approval of the Government;"
BSRA,BSRA Section 22(c),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:",(c) the income derived from the investment of the property of the Board;
BSRA,BSRA Section 22(d),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:","(d) the fees collected by the Board, if any; and"
BSRA,BSRA Section 22(e),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:",(e) Money received from any other source approved by the Government.
BSRA,BSRA Section 22(2),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:",(2) Necessary expenditure of the Board shall be met from the Board's fund in accordance with the budget approved by the Government.
BSRA,BSRA Section 22(3),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:",(3) The amount of the fund shall be deposited in any scheduled bank approved by the Board.
BSRA,BSRA Section 22(4),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:",(4) The money of the fund shall be invested in the sector approved by the Government.
BSRA,BSRA Section 22(5),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:",(5) The accounts of the Fund shall be operated under the joint signature of the Director-General and another officer nominated by the Chairman.
BSRA,BSRA Section 22(6),"22. The Funds of the Board- (1) The Board shall have a fund and the following amount shall be deposited therein, namely:","(6) If, after meeting its expenditures for any financial year, there remains a surplus in the Fund of the Board, twenty-five percent (25%) of such surplus shall be deposited into the Government Treasury in accordance with the directions of the Government, and the remaining seventy-five percent (75%) may be retained as fixed deposit in a bank or may be otherwise invested."
BSRA,BSRA Section 23,"23. Budget - The Board shall, within such time as may be prescribed by the Government each year, submit to the Governmen","23. Budget - The Board shall, within such time as may be prescribed by the Government each year, submit to the Government the annual budget statement for the next financial year and state therein the amount of money required from the Government for that financial year, subject to the expenditure to be met from the Board's funds."
BSRA,BSRA Section 24,24. Accounting and auditing – (1) The Board shall maintain the accounts of each financial year properly in the manner pr,"24. Accounting and auditing – (1) The Board shall maintain the accounts of each financial year properly in the manner prescribed by the Government and shall prepare the annual financial statement of the accounts. CHAPTER VII Crime, Punishment and Prosecution"
BSRA,BSRA Section 24(2),24. Accounting and auditing – (1) The Board shall maintain the accounts of each financial year properly in the manner pr,"(2) The Comptroller and Auditor-General of Bangladesh, hereinafter referred to as the Auditor-General, shall audit the accounts of the Board every year and shall forward a copy of the audit report to the Government and the Board."
BSRA,BSRA Section 24(3),24. Accounting and auditing – (1) The Board shall maintain the accounts of each financial year properly in the manner pr,"(3) In addition to the audit referred to in sub-section (2), the Bangladesh Chartered Accountants Order, 1973 (P.O. The accounts of the Board may be audited by a Chartered Accountant as defined in Article 2 (1) (b) of the Constitution (No. 2 of 1973) and for this purpose, the Board may appoint one or more Chartered Accountants and the Chartered Accountant so appointed shall be paid remuneration at such rate as may be determined by the Government."
BSRA,BSRA Section 24(4),24. Accounting and auditing – (1) The Board shall maintain the accounts of each financial year properly in the manner pr,"(4) For the purpose of auditing the accounts of the Board, the Comptroller and Auditor General or any person authorized by him or a chartered accountant appointed under sub-section (3) may examine all the records, documents, annual balance sheet, cash or money deposited in the bank, collateral, reserves or other property, etc. of the Board and may question the Chairman, members or any members and employees of the Board."
BSRA,BSRA Section 25,25. Measure and extent of penalty -The Director General may order the suspension of all or a portion of the yard's activ,"25. Measure and extent of penalty -The Director General may order the suspension of all or a portion of the yard's activities for a specified period if the investigation demonstrates that the accident was the result of the yard authorities' negligence in fulfilling their responsibilities as outlined in the rule, SRP, or SRFP, and impose a financial penalty in any amount as prescribed in this Act that is reasonable in the circumstances, taking into account the nature of the incident or accident and the degree of negligence of the yard owner or its agent. [Glossary Mapping: SRF = Ship Recycling Facility | SRFP = Ship Recycling Facility Plan]"
BSRA,BSRA Section 26,26. Penalty for setting up a yard without permission -Whoever establishes and/or operates a yard or attempts to do so ou,"26. Penalty for setting up a yard without permission -Whoever establishes and/or operates a yard or attempts to do so outside the ship recycling zone declared by the board by this Act shall be subject to imprisonment for a term that may extend to two years, a fine that may extend to 30 lakh taka, or both."
BSRA,BSRA Section 27,27. Penalty for ship recycling without an approved DASR- Whoever establish and /or operates a yard without any DASR issu,27. Penalty for ship recycling without an approved DASR- Whoever establish and /or operates a yard without any DASR issued as per this rule and approved by the Board shall be punishable with imprisonment for a term which may extend to two years or with fine which may extend to 30 lakh taka or with both.
BSRA,BSRA Section 28,28. Penalty for ship recycling without an approved SRP -Whoever undertakes ship recycling without an SRP issued in accor,"28. Penalty for ship recycling without an approved SRP -Whoever undertakes ship recycling without an SRP issued in accordance with this regulation and approved by the Board shall be required to halt yard operations and may face imprisonment for a duration of up to two years, as well as a financial penalty ranging from 10 lacs to a maximum of 30 lacs, or both."
