record_type	source_system	publisher	entity	title	summary	link	published_at	search_keyword	primary_hits	matched_tags	secondary_hits	language	region	title_kr	summary_kr	summary_source
news	google_rss	CNBC	Ares, Blue Owl, Private Credit Industry	Saba Capital finds little appetite for tender offer of shares in Blue Owl, Starwood private credit funds - CNBC	Saba Capital finds little appetite for tender offer of shares in Blue Owl, Starwood private credit funds CNBC	https://www.cnbc.com/2026/04/27/private-credit-funds-saba-capital-tender-offers-for-shares-are-below-initial-expectations.html	2026-04-27 23:02	private credit	private credit, private credit fund, private credit funds	Liquidity_Redemption, Captial_BlueOwl, Captial_Others	Blue Owl, Ares, cap	en	US	사바 캐피털, 블루아울 및 스타우드 사모신용펀드 공개매수 수요 저조	사바 캐피털이 블루아울과 스타우드 사모신용펀드 지분 공개매수를 진행했으나 수요가 기대치에 못 미쳤음. 총 약 1,000만 달러를 매입했으며, 블루아울의 응답률은 1% 미만이었음.	body
news	google_rss	Reuters	Blackstone, Private Credit Industry	Blackstone's private credit fund sees investor demand cool in first quarter - Reuters	Blackstone's private credit fund sees investor demand cool in first quarter Reuters	https://www.reuters.com/business/blackstones-private-credit-fund-sees-investor-demand-cool-first-quarter-2026-04-29/	2026-04-29 11:21	private credit	private credit, private credit fund	Captial_Blackstone	Blackstone	en	US	블랙스톤 사모신용펀드, 1분기 투자 수요 둔화	Blackstone 의 대표 private credit 펀드 BCRED에 대한 투자 수요가 둔화. 환매 요청 증가와 시장 우려 확산 영향으로 분석.	title_only
news	google_rss	CNBC	Private Credit Industry	With private credit concerns brewing, ratings agencies turn negative on these little-known companies - CNBC	With private credit concerns brewing, ratings agencies turn negative on these little-known companies CNBC	https://www.cnbc.com/2026/04/29/with-private-credit-concerns-brewing-ratings-agencies-turn-negative-on-these-little-known-companies.html	2026-04-29 15:07	private credit	private credit	Market_Sentiment, Credit_Risk	rating, concern, concerns	en	US	사모신용 우려 확산에 신용평가사들, BDC에 대해 부정적 전망 제시	사모신용 건전성 우려로 신용평가사들이 BDC에 대해 부정적인 전망을 제시함. AI로 인한 소프트웨어 대출 가치 하락과 고금리, 높은 레버리지가 주요 원인임.	body
news	google_rss	Reuters	Private Credit Industry	Breakingviews - Goldman Sachs dials up private credit risk-reward - Reuters	Breakingviews - Goldman Sachs dials up private credit risk-reward Reuters	https://www.reuters.com/commentary/breakingviews/goldman-sachs-dials-up-private-credit-risk-reward-2026-04-29/	2026-04-29 16:22	private credit	private credit	Credit_Risk	credit risk	en	US	골드만삭스, 사모 신용 위험-수익 추구 강화	Goldman Sachs 가 사모신용 사업 확대를 지속하면서도 리스크 관리 중요성이 커졌다고 평가. 높은 수익 기회와 잠재 부실 위험이 동시에 확대되고 있다는 논조.	title_only
news	google_rss	CNBC	Private Credit Industry	Private credit fears loom large over Europe's banks this earnings season - CNBC	Private credit fears loom large over Europe's banks this earnings season CNBC	https://www.cnbc.com/2026/04/30/private-credit-risk-banks-europe-earnings-barclays-ubs-debt-santander.html	2026-04-30 7:49	private credit	private credit	Market_Sentiment	fear	en	US	유럽 은행권, 이번 실적 시즌 사모신용 리스크 우려 고조 - CNBC	유럽 은행들이 실적 발표 시즌을 맞아 사모신용 리스크에 대한 투자자 우려를 진화하고 있음. 바클레이스는 MFS 붕괴로 손실을 입었으나, 산탄데르와 UBS 등은 리스크가 관리 가능한 수준이라고 밝힘.	body
news	google_rss	Bloomberg.com	Blue Owl	Blue Owl's Asset Growth Meet Estimates Amid Direct Lending Slump - Bloomberg.com	Blue Owl's Asset Growth Meet Estimates Amid Direct Lending Slump Bloomberg.com	https://www.bloomberg.com/news/articles/2026-04-30/blue-owl-s-asset-growth-meet-estimates-amid-direct-lending-slump	2026-04-30 11:01	private credit	direct lending	Captial_BlueOwl	Blue Owl	en	US	블루 아울, 직접 대출 침체 속 자산 성장 예상치 부합	Blue Owl Capital 의 자산 증가는 예상 수준이었지만 direct lending 성장세는 둔화. 환매 증가와 투자심리 악화 영향이 반영됐다는 평가.	body
news	google_rss	Financial Times	Blue Owl, Private Credit Industry	Blue Owl draws in $9bn as private credit market cools - Financial Times	Blue Owl draws in $9bn as private credit market cools Financial Times	https://www.ft.com/content/4cb43bed-89a1-46f3-add3-2c5430ff465a	2026-04-30 11:36	private credit	private credit	Captial_BlueOwl	Blue Owl	en	US	블루아울, 사모신용 시장 위축 속 90억 달러 유치	투자자와 규제당국이 사모신용 valuation 및 liquidity management에 대한 우려를 확대. retail 자금 유입 구조가 시장 변동성을 키울 수 있다는 지적. 사모신용 시장이 냉각되는 가운데 블루아울이 90억 달러를 유치했음.	body
news	google_rss	Reuters	Private Credit Industry	Stress in private credit could spark 'psychological contagion,' Fed's Barr tells Bloomberg News - Reuters	Stress in private credit could spark 'psychological contagion,' Fed's Barr tells Bloomberg News Reuters	https://www.reuters.com/business/finance/stress-private-credit-could-spark-psychological-contagion-feds-barr-tells-2026-05-03/	2026-05-03 14:56	private credit	private credit	Credit_Risk	stress	en	US	미 연준 바 부의장, 사모신용 스트레스가 심리적 전이 촉발할 수 있어	연준의 바 부의장이 사모신용 시장의 스트레스가 심리적 전이를 유발할 수 있다고 언급함.	title_only
news	google_rss	Bloomberg.com	Private Credit Industry	Watch Guggenheim's Schwartz: AI Energy Demand, Private Credit Concerns - Bloomberg.com	Watch Guggenheim's Schwartz: AI Energy Demand, Private Credit Concerns Bloomberg.com	https://www.bloomberg.com/news/videos/2026-05-05/guggenheim-s-schwartz-on-energy-demand-credit-concerns-video	2026-05-05 0:00	private credit	private credit	Market_Sentiment	concern, concerns	en	US	구겐하임 슈왈츠, AI 에너지 수요 및 사모 신용 우려 제기	Guggenheim 측은 경기 둔화와 차입 비용 상승이 크레딧 시장 압박 요인이라고 언급. 다만 에너지 인프라 관련 신용 수요는 견조하다고 평가	partial_body
news	google_rss	Reuters	Private Credit Industry	HSBC profit underwhelms on surprise $400 million private credit loss - Reuters	HSBC profit underwhelms on surprise $400 million private credit loss Reuters	https://www.reuters.com/video/watch/idRW792905052026RP1/	2026-05-05 10:50	private credit	private credit	Credit_Risk	loss	en	US	HSBC, 4억 달러 규모 사모 신용 손실로 이익 부진	HSBC의 이익이 예상치 못한 4억 달러 규모의 사모 신용 손실로 인해 부진했음.	title_only
news	google_rss	Bloomberg.com	Private Credit Industry	Global Watchdog FSB Unveils Action Plan on Private Credit Risks - Bloomberg.com	Global Watchdog FSB Unveils Action Plan on Private Credit Risks Bloomberg.com	https://www.bloomberg.com/news/articles/2026-05-06/global-watchdog-fsb-unveils-action-plan-on-private-credit-risks	2026-05-06 6:00	private credit	private credit	Credit_Risk	credit risk	en	US	금융안정위원회(FSB), 사모신용 리스크 대응 방안 발표	금융안정위원회(FSB)가 사모신용 리스크 관리를 위한 계획을 공개했음. 1.5~2조 달러 규모 시장의 취약성 평가 과정에서 상당한 데이터 확보의 어려움이 있었음을 밝힘.	body
news	google_rss	CNBC	Private Credit Industry	Private credit's $2 trillion boom raises global stability fears, watchdog warns - CNBC	Private credit's $2 trillion boom raises global stability fears, watchdog warns CNBC	https://www.cnbc.com/2026/05/06/private-credit-stress-risks-financial-stability-markets.html	2026-05-06 6:18	private credit	private credit	Market_Sentiment	fear	en	US	민간 신용 2조 달러 급증, 글로벌 금융 안정성 우려 키운다	금융안정위원회는 민간 신용 시장 규모가 2조 달러에 달하며 표준화된 데이터 부족과 복잡한 구조로 인해 금융 시스템 전반에 걸쳐 위험이 커졌다고 경고했음. 이에 따라 각국 규제 당국에 민간 신용 부문에 대한 감독 강화를 요구했음.	body
news	google_rss	WSJ	Apollo, Private Credit Industry	Apollo to Give Investors Daily Pricing on Private Credit By September - WSJ	Apollo to Give Investors Daily Pricing on Private Credit By September WSJ	https://www.wsj.com/finance/investing/apollo-to-give-investors-daily-pricing-on-private-credit-by-september-44a2c84b	2026-05-06 15:05	private credit	private credit	Captial_Others	Apollo	en	US	아폴로, 9월까지 사모신용 일일 가격 제공 예정임.	아폴로자산운용이 오는 9월부터 사모신용 상품에 대해 투자자들에게 매일 가격 정보를 제공할 예정임.	title_only
news	google_rss	Reuters	Apollo, Private Credit Industry	Apollo pledges daily pricing for private credit as assets top $1 trillion - Reuters	Apollo pledges daily pricing for private credit as assets top $1 trillion Reuters	https://www.reuters.com/business/apollos-assets-under-management-hit-1-trillion-fee-earnings-touch-record-high-2026-05-06/	2026-05-06 16:43	private credit	private credit	Captial_Others	Apollo	en	US	아폴로, 개인 신용 자산 1조 달러 돌파 후 일일 가격 책정 약속	아폴로의 개인 신용 자산이 1조 달러를 넘어섰음. 이에 따라 매일 가격을 책정하겠다고 약속했음.	title_only
news	google_rss	Bloomberg.com	Apollo, Private Credit Industry	Apollo Private Credit Fund Reports Loss on Portfolio Weakness - Bloomberg.com	Apollo Private Credit Fund Reports Loss on Portfolio Weakness Bloomberg.com	https://www.bloomberg.com/news/articles/2026-05-06/apollo-private-credit-fund-reports-loss-on-portfolio-weakness	2026-05-06 21:04	private credit	private credit, private credit fund	Captial_Others, Credit_Risk	Apollo, loss	en	US	아폴로 사모신용펀드, 포트폴리오 약세로 손실 보고	아폴로 글로벌 매니지먼트의 사모신용펀드가 시장 변동성과 일부 거래 약세로 인한 가치 하락을 이유로 분기 손실을 보고했음. 순자산가치는 13.82달러로 하락했음.	body
news	google_rss	Reuters	Blue Owl, Private Credit Industry	Blue Owl private credit funds cut dividends as borrowing costs rise - Reuters	Blue Owl private credit funds cut dividends as borrowing costs rise Reuters	https://www.reuters.com/world/blue-owl-private-credit-fund-cuts-dividend-borrowing-costs-rise-2026-05-06/	2026-05-06 22:31	private credit	private credit, private credit fund, private credit funds	Captial_BlueOwl	Blue Owl	en	US	블루오울 사모대출 펀드, 차입 비용 상승으로 배당금 삭감	블루오울 사모대출 펀드가 차입 비용 상승으로 인해 배당금을 삭감했음.	title_only
news	google_rss	Financial Times	Private Credit Industry	The leverage layer cake behind HSBC's private credit losses - Financial Times	The leverage layer cake behind HSBC's private credit losses Financial Times	https://www.ft.com/content/8117fa35-d89e-4fb9-a94b-48257bd6229b	2026-05-06 23:01	private credit	private credit	Credit_Risk	loss	en	US	HSBC의 사모신용 손실 이면에 있는 레버리지 구조	시장 전반에서 private credit의 valuation liquidity retail 판매 구조에 대한 재평가가 진행 중. 다만 일부 전문가들은 2008년형 시스템 위기로 확대될 가능성은 제한적이라고 평가.	body
