,EXAONE-Tabular (default),TabFM (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabPFN-3 (default),TabICLv2 (default),RealMLP (T+E),LimiX (default),TabPFNv2 (T+E),TabM (T+E),Mitra (default),CatBoost (T+E),xRFM (T+E),TabDPT (T+E),LightGBM (T+E),SAP-RPT-OSS (default),TabDPT-Turbo (default),XGBoost (T+E),BetaTabPFN (default),ModernNCA (T+E),ExtraTrees (T+E),iLTM (T+E),EBM (T+E),TabICL (default),RandomForest (T+E),FastaiMLP (T+E),TorchMLP (T+E),TabSwift (default),ChimeraBoost (T+E),KNN (T+E),TabSTAR (T+E),OrionMSP (default),Linear (T+E),PerpetualBooster (T+E),TabFlex (default)
CatBoost (T+E),0.0,0.14285715,0.0,0.14285715,0.42857143,0.42857143,0.2857143,0.42857143,0.2857143,0.71428573,0.5714286,,0.5714286,0.71428573,0.42857143,0.42857143,0.5714286,0.71428573,0.5714286,0.85714287,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.85714287,0.85714287,0.71428573,0.71428573,1.0,1.0,1.0,1.0,1.0
xRFM (T+E),0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.42857143,0.42857143,0.2857143,0.2857143,0.5714286,0.2857143,0.42857143,,0.5714286,0.5714286,0.42857143,0.71428573,0.5714286,0.5714286,0.71428573,0.71428573,0.5714286,0.5714286,0.71428573,0.71428573,0.5714286,0.71428573,0.85714287,0.85714287,1.0,0.85714287,1.0,1.0,1.0,1.0
TabDPT (T+E),0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.2857143,0.42857143,0.5714286,0.2857143,0.2857143,0.42857143,0.2857143,0.42857143,,0.5714286,0.42857143,0.42857143,0.71428573,0.71428573,0.71428573,0.5714286,0.85714287,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.85714287,0.85714287,0.85714287,1.0,0.85714287,0.85714287,1.0
LightGBM (T+E),0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.2857143,0.42857143,0.2857143,0.42857143,0.2857143,0.5714286,0.42857143,0.42857143,,0.5714286,0.71428573,0.42857143,0.85714287,0.42857143,0.5714286,0.5714286,0.85714287,0.5714286,0.71428573,0.71428573,0.85714287,0.85714287,1.0,0.71428573,0.85714287,1.0,1.0,1.0,1.0
SAP-RPT-OSS (default),0.14285715,0.14285715,0.0,0.2857143,0.42857143,0.5714286,0.42857143,0.42857143,0.5714286,0.42857143,0.71428573,0.5714286,0.5714286,0.5714286,0.42857143,,0.5714286,0.5714286,0.5714286,0.5714286,0.5714286,0.5714286,0.42857143,0.71428573,0.5714286,0.5714286,0.71428573,0.5714286,0.5714286,0.5714286,0.71428573,0.5714286,0.85714287,0.85714287,0.85714287
TabDPT-Turbo (default),0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.42857143,0.42857143,0.42857143,0.2857143,0.42857143,0.42857143,0.2857143,0.5714286,0.2857143,0.42857143,,0.5714286,0.42857143,0.5714286,0.5714286,0.71428573,0.5714286,0.5714286,0.71428573,0.5714286,0.71428573,1.0,0.71428573,0.85714287,0.71428573,1.0,0.85714287,0.85714287,1.0
XGBoost (T+E),0.0,0.14285715,0.0,0.0,0.14285715,0.2857143,0.0,0.2857143,0.14285715,0.2857143,0.14285715,0.2857143,0.42857143,0.2857143,0.5714286,0.42857143,0.42857143,,0.5714286,0.71428573,0.5714286,0.71428573,0.71428573,0.71428573,0.5714286,0.5714286,0.71428573,0.71428573,0.85714287,0.71428573,1.0,1.0,1.0,1.0,1.0
BetaTabPFN (default),0.0,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.14285715,0.2857143,0.42857143,0.42857143,0.2857143,0.14285715,0.42857143,0.5714286,0.42857143,,0.42857143,0.42857143,0.5714286,0.5714286,0.42857143,0.5714286,0.5714286,0.71428573,0.5714286,0.71428573,0.71428573,0.85714287,0.85714287,1.0,1.0,1.0
ModernNCA (T+E),0.0,0.14285715,0.0,0.0,0.0,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.14285715,0.14285715,0.2857143,0.2857143,0.5714286,0.42857143,0.42857143,0.2857143,0.5714286,,0.71428573,0.5714286,0.5714286,0.71428573,0.71428573,0.71428573,0.5714286,0.5714286,0.71428573,0.85714287,0.85714287,1.0,1.0,1.0,1.0
ExtraTrees (T+E),0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.42857143,0.14285715,0.2857143,0.42857143,0.2857143,0.2857143,0.2857143,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,0.5714286,0.2857143,,0.2857143,0.42857143,0.42857143,0.85714287,0.42857143,0.42857143,0.71428573,0.71428573,1.0,0.85714287,1.0,0.71428573,0.85714287,1.0
iLTM (T+E),0.0,0.14285715,0.0,0.0,0.0,0.14285715,0.14285715,0.42857143,0.2857143,0.42857143,0.14285715,0.2857143,0.42857143,0.14285715,0.42857143,0.42857143,0.2857143,0.2857143,0.42857143,0.42857143,0.71428573,,0.5714286,0.42857143,0.71428573,0.71428573,0.5714286,0.5714286,0.71428573,0.85714287,0.85714287,0.85714287,0.85714287,1.0,1.0
EBM (T+E),0.14285715,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.14285715,0.2857143,0.2857143,0.0,0.2857143,0.2857143,0.42857143,0.2857143,0.14285715,0.5714286,0.42857143,0.2857143,0.42857143,0.42857143,0.5714286,0.42857143,,0.42857143,0.5714286,0.5714286,0.42857143,0.5714286,0.5714286,0.71428573,0.85714287,0.71428573,1.0,1.0,1.0
TabICL (default),0.14285715,0.0,0.14285715,0.2857143,0.0,0.0,0.2857143,0.2857143,0.42857143,0.2857143,0.35714287,0.2857143,0.2857143,0.2857143,0.42857143,0.2857143,0.42857143,0.2857143,0.5714286,0.2857143,0.5714286,0.5714286,0.5714286,,0.5714286,0.42857143,0.42857143,0.71428573,0.5714286,0.85714287,0.71428573,0.85714287,0.85714287,1.0,0.85714287
RandomForest (T+E),0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.2857143,0.42857143,0.14285715,0.42857143,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.42857143,0.2857143,0.42857143,0.42857143,0.2857143,0.14285715,0.2857143,0.42857143,0.42857143,,0.42857143,0.42857143,0.5714286,0.5714286,0.85714287,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287
FastaiMLP (T+E),0.0,0.14285715,0.0,0.0,0.14285715,0.14285715,0.14285715,0.2857143,0.2857143,0.2857143,0.2857143,0.2857143,0.42857143,0.2857143,0.2857143,0.42857143,0.42857143,0.42857143,0.42857143,0.2857143,0.5714286,0.2857143,0.42857143,0.5714286,0.5714286,,0.42857143,0.42857143,0.5714286,0.5714286,0.85714287,0.71428573,0.85714287,0.71428573,1.0
TorchMLP (T+E),0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.14285715,0.2857143,0.14285715,0.2857143,0.2857143,0.14285715,0.2857143,0.2857143,0.2857143,0.2857143,0.42857143,0.5714286,0.42857143,0.5714286,0.5714286,0.5714286,0.5714286,,0.5714286,0.5714286,0.71428573,0.85714287,0.71428573,0.85714287,0.85714287,1.0
TabSwift (default),0.0,0.14285715,0.0,0.0,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.2857143,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.42857143,0.0,0.2857143,0.42857143,0.42857143,0.2857143,0.42857143,0.42857143,0.2857143,0.42857143,0.5714286,0.42857143,,0.42857143,0.71428573,0.71428573,0.85714287,0.71428573,0.85714287,1.0
ChimeraBoost (T+E),0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.2857143,0.14285715,0.14285715,0.0,0.42857143,0.2857143,0.14285715,0.2857143,0.2857143,0.2857143,0.2857143,0.42857143,0.42857143,0.42857143,0.42857143,0.42857143,0.5714286,,0.5714286,0.85714287,0.71428573,0.85714287,0.85714287,0.85714287
KNN (T+E),0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.14285715,0.2857143,0.0,0.14285715,0.2857143,0.42857143,0.14285715,0.2857143,0.2857143,0.14285715,0.0,0.14285715,0.2857143,0.14285715,0.14285715,0.42857143,0.2857143,0.2857143,0.42857143,,0.42857143,0.42857143,0.42857143,0.85714287,0.5714286
TabSTAR (T+E),0.0,0.14285715,0.0,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.0,0.14285715,0.0,0.14285715,0.14285715,0.14285715,0.2857143,0.2857143,0.0,0.14285715,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.14285715,0.14285715,0.2857143,0.14285715,0.5714286,,0.42857143,0.71428573,0.71428573,0.5714286
OrionMSP (default),0.0,0.14285715,0.0,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.0,0.14285715,0.0,0.0,0.0,0.0,0.42857143,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.2857143,0.14285715,0.14285715,0.2857143,0.2857143,0.14285715,0.2857143,0.5714286,0.5714286,,0.5714286,0.71428573,0.71428573
Linear (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.14285715,0.0,0.0,0.0,0.2857143,0.14285715,0.0,0.14285715,0.2857143,0.14285715,0.14285715,0.2857143,0.14285715,0.5714286,0.2857143,0.42857143,,0.5714286,0.5714286
PerpetualBooster (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.14285715,0.0,0.0,0.0,0.14285715,0.0,0.0,0.0,0.14285715,0.2857143,0.14285715,0.14285715,0.14285715,0.14285715,0.2857143,0.2857143,0.42857143,,0.5714286
TabFlex (default),0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.14285715,0.0,0.14285715,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.14285715,0.0,0.0,0.0,0.14285715,0.42857143,0.42857143,0.2857143,0.42857143,0.42857143,
